time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/n_updates,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations
189440,27.0,43.76458740234375,62322.762475585936,-0.022669121508079114,-5.253931224346161,28732.6953125,0.0,0.009693939,0.074462890625,0.0003,0.2,920,,,,,
190464,27.0,41.27136993408203,,,,,,,,,,,,,,,
191488,27.0,45.01117706298828,67242.94370117187,-0.019278377876617014,-5.257314576208591,32729.041015625,0.0,0.009093706,0.053125,0.0003,0.2,930,,,,,
192512,27.0,44.518951416015625,,,,,,,,,,,,,,,
193536,27.0,36.99422836303711,62895.2630493164,-0.02041557038319297,-5.262397696077824,31890.765625,0.0,0.009763512,0.048779296875,0.0003,0.2,940,,,,,
194560,27.0,42.35744857788086,,,,,,,,,,,,,,,
195584,27.0,39.33989334106445,63850.716088867186,-0.01661697505041957,-5.265933609008789,31137.384765625,0.0,0.00840775,0.040576171875,0.0003,0.2,950,,,,,
196608,27.0,38.58464813232422,,,,,,,,,,,,,,,
197632,27.0,43.46923828125,60078.04345703125,-0.021581019154109527,-5.271069233119488,29855.775390625,0.0,0.009623435,0.066845703125,0.0003,0.2,960,,,,,
198656,27.0,42.75785827636719,,,,,,,,,,,,,,,
199680,27.0,42.71442413330078,65323.371618652345,-0.020825861356570385,-5.260382483899593,30735.927734375,0.0,0.009744678,0.062744140625,0.0003,0.2,970,,,,,
200704,27.0,43.13618469238281,,,,,,,,,,,,,,,
201728,27.0,44.531978607177734,61126.255151367186,-0.020344138830114388,-5.247330120205879,28297.83984375,-1.1920928955078125e-07,0.009117595,0.0572265625,0.0003,0.2,980,,,,,
202752,27.0,46.47308349609375,,,,,,,,,,,,,,,
203776,27.0,40.679691314697266,61595.37196044922,-0.021643440290063154,-5.260711625218391,30190.119140625,0.0,0.0094800275,0.078515625,0.0003,0.2,990,,,,,
204800,27.0,34.292991638183594,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,458,446,736.62915713,27.0,100
205824,27.0,41.023681640625,58369.999572753906,-0.021692820335738362,-5.266736480593681,30226.154296875,0.0,0.008916667,0.070849609375,0.0003,0.2,1000,,,,,
206848,27.0,43.005924224853516,,,,,,,,,,,,,,,
207872,27.0,36.900577545166016,64499.91889648438,-0.017854602036823052,-5.263693222403527,34680.015625,0.0,0.009089613,0.0494140625,0.0003,0.2,1010,,,,,
208896,27.0,42.95609664916992,,,,,,,,,,,,,,,
209920,27.0,45.194358825683594,58725.37662353516,-0.024621682763972787,-5.265261712670326,31661.259765625,0.0,0.0109005,0.08388671875,0.0003,0.2,1020,,,,,
210944,27.0,37.20469665527344,,,,,,,,,,,,,,,
