time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/explained_variance,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps
500736,180.0,45.54461669921875,1.1920928955078125e-07,57.29880508184433,2440,-0.01941649176442297,0.0003,0.204345703125,35.82575607299805,0.2,0.017940326,-3.9797878451645374,,,,,
501760,180.0,51.534908294677734,,,,,,,,,,,,,,,
502784,180.0,47.83540344238281,0.0,57.79899758696556,2450,-0.020878887092112563,0.0003,0.22802734375,37.35308837890625,0.2,0.01937565,-3.97179332152009,,,,,
503808,180.0,45.755043029785156,,,,,,,,,,,,,,,
504832,180.0,50.486690521240234,0.0,52.13899239897728,2460,-0.019778530749317725,0.0003,0.201904296875,24.125028610229492,0.2,0.019606007,-3.957225736230612,,,,,
505856,180.0,46.444419860839844,,,,,,,,,,,,,,,
506880,180.0,54.164268493652344,0.0,60.398215198516844,2470,-0.01804529434448341,0.0003,0.2203125,27.236766815185547,0.2,0.01794782,-3.9360035195946694,,,,,
507904,180.0,51.506683349609375,,,,,,,,,,,,,,,
508928,180.0,46.75115203857422,-1.1920928955078125e-07,64.89265320301055,2480,-0.024415522327763027,0.0003,0.2478515625,35.9461784362793,0.2,0.020494726,-3.907159253209829,,,,,
509952,180.0,50.80486297607422,,,,,,,,,,,,,,,
510976,180.0,51.9132080078125,0.0,62.40528289079666,2490,-0.01823157944891136,0.0003,0.20205078125,25.20526123046875,0.2,0.017903963,-3.891919845342636,,,,,
512000,180.0,51.60940170288086,,,,,,,,,,,,,,,
512000,,,,,,,,,,,,,250,1525,47.34994292,180.0,335
513024,180.0,50.17803955078125,0.0,52.507257169485094,2500,-0.020279101288178936,0.0003,0.219482421875,28.21880340576172,0.2,0.01835121,-3.8866834111511706,,,,,
514048,180.0,54.97016525268555,,,,,,,,,,,,,,,
515072,180.0,50.40496826171875,0.0,55.289208102226254,2510,-0.018587211235717403,0.0003,0.21943359375,29.990232467651367,0.2,0.018001866,-3.8707972593605517,,,,,
516096,180.0,48.36217498779297,,,,,,,,,,,,,,,
517120,180.0,48.39934539794922,1.1920928955078125e-07,66.10581607818604,2520,-0.02308658837864641,0.0003,0.2361328125,24.15130043029785,0.2,0.018213116,-3.8858088798820973,,,,,
518144,180.0,43.22227478027344,,,,,,,,,,,,,,,
519168,180.0,48.723716735839844,0.0,64.03554273843766,2530,-0.021497003082185984,0.0003,0.2337890625,21.23407745361328,0.2,0.018078383,-3.9354470409452915,,,,,
520192,180.0,49.29412078857422,,,,,,,,,,,,,,,
521216,180.0,51.69873046875,0.0,60.61694666147232,2540,-0.022108235616178716,0.0003,0.267529296875,22.44239044189453,0.2,0.01701865,-3.91612878292799,,,,,
522240,180.0,47.010704040527344,,,,,,,,,,,,,,,
523264,180.0,55.795528411865234,0.0,65.80161679387092,2550,-0.02048197903786786,0.0003,0.225439453125,23.967517852783203,0.2,0.017093487,-3.8986516572535037,,,,,
524288,180.0,57.87101745605469,,,,,,,,,,,,,,,
525312,180.0,56.26942825317383,0.0,54.37391376495361,2560,-0.020070903087616897,0.0003,0.235595703125,36.69940185546875,0.2,0.017074198,-3.8808189012110232,,,,,
526336,180.0,57.307708740234375,,,,,,,,,,,,,,,
527360,180.0,50.970489501953125,5.960464477539063e-08,61.970679360628125,2570,-0.018374299636343495,0.0003,0.1921875,32.91303634643555,0.2,0.019295804,-3.910288375616074,,,,,
528384,180.0,56.65518569946289,,,,,,,,,,,,,,,
529408,180.0,58.30213165283203,1.1920928955078125e-07,62.97100839614868,2580,-0.018367678973299918,0.0003,0.20478515625,35.662662506103516,0.2,0.018438887,-3.915001440793276,,,,,
530432,180.0,50.80005645751953,,,,,,,,,,,,,,,
531456,180.0,53.871028900146484,0.0,59.055920380353925,2590,-0.01972060914267786,0.0003,0.2421875,25.245718002319336,0.2,0.018963277,-3.872728867083788,,,,,
532480,180.0,50.109642028808594,,,,,,,,,,,,,,,
532480,,,,,,,,,,,,,260,1586,51.56414366,180.0,335
533504,180.0,57.84479904174805,5.960464477539063e-08,58.87559803128242,2600,-0.017761502755456605,0.0003,0.177001953125,19.497467041015625,0.2,0.015517665,-3.896842174232006,,,,,
534528,180.0,55.80107879638672,,,,,,,,,,,,,,,
535552,180.0,54.46101379394531,0.0,64.91443200707435,2610,-0.018621008169429843,0.0003,0.19736328125,27.836050033569336,0.2,0.016667092,-3.9313462771475316,,,,,
536576,180.0,49.609798431396484,,,,,,,,,,,,,,,
537600,180.0,49.64181137084961,5.960464477539063e-08,62.9152749478817,2620,-0.017403020277561153,0.0003,0.186962890625,27.20023536682129,0.2,0.016506396,-3.925256463885307,,,,,
538624,180.0,46.95888900756836,,,,,,,,,,,,,,,
539648,180.0,51.5610237121582,0.0,70.54380864500999,2630,-0.018461558343551586,0.0003,0.196923828125,42.186588287353516,0.2,0.01840315,-3.9258615985512733,,,,,
540672,180.0,54.0341796875,,,,,,,,,,,,,,,
541696,180.0,53.480411529541016,5.960464477539063e-08,51.51293193101883,2640,-0.018711902081849984,0.0003,0.220068359375,36.792598724365234,0.2,0.016005196,-3.8927060455083846,,,,,
542720,180.0,53.63959503173828,,,,,,,,,,,,,,,
