time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/explained_variance,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean
66000,50.0,6.573882102966309,320,0.014793079,0.0003,0.2,-4.6801422640681265,10274.666174316406,-0.0245290886501607,5673.6982421875,0.155712890625,0.0,,,,,
66500,50.0,5.603640079498291,,,,,,,,,,,,,,,
67000,50.0,6.900311470031738,,,,,,,,,,,,,,,
67500,50.0,6.923435211181641,,,,,,,,,,,,,,,
68000,50.0,6.89326286315918,330,0.01537391,0.0003,0.2,-4.628945532441139,10928.53759613037,-0.02509817691752687,5924.228515625,0.166845703125,0.0,,,,,
68500,50.0,6.967777252197266,,,,,,,,,,,,,,,
69000,50.0,5.438764572143555,,,,,,,,,,,,,,,
69500,50.0,4.125932216644287,,,,,,,,,,,,,,,
70000,50.0,5.917616367340088,340,0.014473502,0.0003,0.2,-4.606873631477356,11338.503819274902,-0.023483606163063088,5046.572265625,0.15625,0.0,,,,,
70500,50.0,5.675500392913818,,,,,,,,,,,,,,,
71000,50.0,4.529332160949707,,,,,,,,,,,,,,,
71500,50.0,7.377910137176514,,,,,,,,,,,,,,,
72000,50.0,5.222236633300781,350,0.015688078,0.0003,0.2,-4.5884373724460605,10460.735903930665,-0.028318083213525823,5210.86279296875,0.18974609375,0.0,,,,,
72500,50.0,6.457857131958008,,,,,,,,,,,,,,,
73000,50.0,8.193395614624023,,,,,,,,,,,,,,,
73500,50.0,7.382376670837402,,,,,,,,,,,,,,,
74000,50.0,5.7723894119262695,360,0.013297303,0.0003,0.2,-4.565140874683857,11953.102969360352,-0.022477868694113567,6234.73828125,0.141796875,-1.1920928955078125e-07,,,,,
74500,50.0,7.317677021026611,,,,,,,,,,,,,,,
75000,50.0,5.507054328918457,,,,,,,,,,,,,,,
75500,50.0,5.414720058441162,,,,,,,,,,,,,,,
76000,50.0,8.619463920593262,370,0.014885271,0.0003,0.2,-4.528069053590298,11112.294036865234,-0.0242198522129911,4929.51123046875,0.142724609375,0.0,,,,,
76500,50.0,7.098418712615967,,,,,,,,,,,,,,,
77000,50.0,4.423239707946777,,,,,,,,,,,,,,,
77500,50.0,5.924228191375732,,,,,,,,,,,,,,,
78000,50.0,6.483073711395264,380,0.014181122,0.0003,0.2,-4.456588241457939,10697.489678955078,-0.025841706538631114,4996.220703125,0.161328125,0.0,,,,,
78500,50.0,5.840076446533203,,,,,,,,,,,,,,,
79000,50.0,4.504332542419434,,,,,,,,,,,,,,,
79500,50.0,5.142829895019531,,,,,,,,,,,,,,,
80000,50.0,6.605084419250488,390,0.013730412,0.0003,0.2,-4.38517380207777,12786.897583007812,-0.020936839770001825,6721.20263671875,0.11640625,0.0,,,,,
80500,50.0,7.0143938064575195,,,,,,,,,,,,,,,
81000,50.0,9.963653564453125,,,,,,,,,,,,,,,
81500,50.0,5.477764129638672,,,,,,,,,,,,,,,
81920,,,,,,,,,,,,,40,539.48280019,968,84,50.0
82000,50.0,6.894223690032959,400,0.012605948,0.0003,0.2,-4.285938468575478,11804.9524810791,-0.018363853549817576,6030.9140625,0.107080078125,0.0,,,,,
82500,50.0,5.5329976081848145,,,,,,,,,,,,,,,
83000,50.0,7.989455699920654,,,,,,,,,,,,,,,
83500,50.0,9.528831481933594,,,,,,,,,,,,,,,
84000,50.0,6.594264030456543,410,0.012261426,0.0003,0.2,-4.250637032091618,11444.206706237794,-0.02237153807946015,5740.3154296875,0.139306640625,5.960464477539063e-08,,,,,
84500,50.0,7.221495628356934,,,,,,,,,,,,,,,
85000,50.0,4.785443305969238,,,,,,,,,,,,,,,
85500,50.0,9.275810241699219,,,,,,,,,,,,,,,
86000,50.0,6.715722560882568,,,,,,,,,,,,,,,
86500,50.0,7.417660713195801,420,0.013471024,0.0003,0.2,-4.1916714131832125,12258.170776367188,-0.020932784053729846,6795.97412109375,0.12373046875,0.0,,,,,
87000,50.0,7.427672386169434,,,,,,,,,,,,,,,
87500,50.0,8.638526916503906,,,,,,,,,,,,,,,
88000,50.0,11.051939010620117,,,,,,,,,,,,,,,
88500,50.0,5.6794562339782715,430,0.010907035,0.0003,0.2,-4.193583883345127,12922.784777832032,-0.015872383932583035,6571.314453125,0.089697265625,0.0,,,,,
89000,50.0,9.430027961730957,,,,,,,,,,,,,,,
89500,50.0,8.289397239685059,,,,,,,,,,,,,,,
90000,50.0,7.377511501312256,,,,,,,,,,,,,,,
90500,50.0,6.775077819824219,440,0.012631601,0.0003,0.2,-4.169376982748508,12388.233087158203,-0.021549417404457927,5792.7587890625,0.1443359375,5.960464477539063e-08,,,,,
91000,50.0,7.705731391906738,,,,,,,,,,,,,,,
91500,50.0,9.77858829498291,,,,,,,,,,,,,,,
92000,50.0,7.517992973327637,,,,,,,,,,,,,,,
92500,50.0,10.190519332885742,450,0.01577532,0.0003,0.2,-4.16346088051796,13321.520666503906,-0.02121549799630884,7067.71728515625,0.1267578125,0.0,,,,,
93000,50.0,5.308226585388184,,,,,,,,,,,,,,,
93500,50.0,10.953042030334473,,,,,,,,,,,,,,,
94000,50.0,6.335244655609131,,,,,,,,,,,,,,,
94500,50.0,8.572571754455566,460,0.015281005,0.0003,0.2,-4.061511912941933,12353.049221801757,-0.025611313129775225,4581.5234375,0.1771484375,0.0,,,,,
95000,50.0,10.309324264526367,,,,,,,,,,,,,,,
95500,50.0,11.66421127319336,,,,,,,,,,,,,,,
96000,50.0,9.600740432739258,,,,,,,,,,,,,,,
96500,50.0,8.09802532196045,470,0.015106937,0.0003,0.2,-3.9318543553352354,13703.562524414063,-0.01978849898587214,6822.96240234375,0.124462890625,0.0,,,,,
97000,50.0,6.640432357788086,,,,,,,,,,,,,,,
97500,50.0,8.407639503479004,,,,,,,,,,,,,,,
98000,50.0,6.0838727951049805,,,,,,,,,,,,,,,
98500,50.0,9.976842880249023,480,0.010890482,0.0003,0.2,-3.8379875980317593,15389.211233520507,-0.014896622915694024,7788.6572265625,0.08271484375,0.0,,,,,
99000,50.0,10.56253433227539,,,,,,,,,,,,,,,
99500,50.0,11.09306526184082,,,,,,,,,,,,,,,
100000,50.0,9.249530792236328,,,,,,,,,,,,,,,
100500,50.0,9.245500564575195,490,0.013599575,0.0003,0.2,-3.6786797381937504,17211.245904541014,-0.01607701012981124,7513.51708984375,0.0986328125,0.0,,,,,
101000,50.0,7.401314735412598,,,,,,,,,,,,,,,
101500,50.0,13.170631408691406,,,,,,,,,,,,,,,
102000,50.0,11.647366523742676,,,,,,,,,,,,,,,
102400,,,,,,,,,,,,,50,638.4181134999999,963,106,50.0
102500,50.0,13.426767349243164,500,0.011726439,0.0003,0.2,-3.731947335600853,17693.689083862304,-0.014312271372182295,8318.3779296875,0.082666015625,-1.1920928955078125e-07,,,,,
103000,50.0,8.12317943572998,,,,,,,,,,,,,,,
103500,50.0,11.632251739501953,,,,,,,,,,,,,,,
104000,50.0,7.457290172576904,,,,,,,,,,,,,,,
104500,50.0,12.994611740112305,510,0.01390273,0.0003,0.2,-3.7077382646501063,17868.816027832032,-0.013808579064789227,10308.9130859375,0.072607421875,0.0,,,,,
105000,50.0,6.226923942565918,,,,,,,,,,,,,,,
105500,50.0,6.908334732055664,,,,,,,,,,,,,,,
106000,50.0,8.477884292602539,,,,,,,,,,,,,,,
106500,50.0,13.1519193649292,520,0.011838453,0.0003,0.2,-3.5935134440660477,17421.401113891603,-0.01351506289356621,7139.93212890625,0.07275390625,0.0,,,,,
107000,50.0,12.73759651184082,,,,,,,,,,,,,,,
107500,50.0,12.45916748046875,,,,,,,,,,,,,,,
108000,50.0,11.549339294433594,,,,,,,,,,,,,,,
108500,50.0,8.704345703125,,,,,,,,,,,,,,,
109000,50.0,12.824628829956055,530,0.009160548,0.0003,0.2,-3.4671097308397294,20942.68362121582,-0.014468576898798347,9763.8154296875,0.082470703125,0.0,,,,,
109500,50.0,9.270079612731934,,,,,,,,,,,,,,,
110000,50.0,10.768854141235352,,,,,,,,,,,,,,,
110500,50.0,11.408076286315918,,,,,,,,,,,,,,,
111000,50.0,12.370332717895508,540,0.008869976,0.0003,0.2,-3.422426310181618,23292.723510742188,-0.014166609641688411,10212.048828125,0.083544921875,0.0,,,,,
111500,50.0,8.079702377319336,,,,,,,,,,,,,,,
112000,50.0,12.061372756958008,,,,,,,,,,,,,,,
112500,50.0,9.761367797851562,,,,,,,,,,,,,,,
113000,50.0,4.849994659423828,550,0.016670847,0.0003,0.2,-3.3365058444440363,21622.06929626465,-0.01786491664533969,12875.900390625,0.102294921875,0.0,,,,,
113500,50.0,11.02803897857666,,,,,,,,,,,,,,,
114000,50.0,9.920531272888184,,,,,,,,,,,,,,,
114500,50.0,11.934186935424805,,,,,,,,,,,,,,,
