time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
268288,19.70592498779297,12.0,,,,,,,,,,,,,,,
269312,9.261602401733398,12.0,1310,0.0003,-2.3295704990625383,0.011452172412828077,0.359619140625,0.0,1939.8522827148438,0.2,778.1500244140625,0.08129755,,,,,
270336,19.625011444091797,12.0,,,,,,,,,,,,,,,
271360,16.47704315185547,12.0,1320,0.0003,-2.3301545016467573,0.02432933909149142,0.4060546875,0.0,1533.4995693206788,0.2,758.6719360351562,0.09167682,,,,,
272384,12.142330169677734,12.0,,,,,,,,,,,,,,,
273408,15.069711685180664,12.0,1330,0.0003,-2.325393458455801,0.01233740376192145,0.4203125,0.0,1841.4292491912843,0.2,1016.939697265625,0.09753147,,,,,
274432,22.33499526977539,12.0,,,,,,,,,,,,,,,
275456,19.12578010559082,12.0,1340,0.0003,-2.2982903361320495,0.022708535320998636,0.41748046875,0.0,1932.3675998687745,0.2,921.453369140625,0.11802785,,,,,
276480,11.358928680419922,12.0,,,,,,,,,,,,,,,
277504,24.462852478027344,12.0,1350,0.0003,-2.317679124325514,0.007079018655349501,0.39609375,0.0,2395.9591537475585,0.2,1109.1705322265625,0.098080724,,,,,
278528,23.706573486328125,12.0,,,,,,,,,,,,,,,
279552,21.07855224609375,12.0,1360,0.0003,-2.3070173978805544,0.0093748875282472,0.393994140625,0.0,1718.4535972595215,0.2,745.4622192382812,0.10215142,,,,,
280576,19.916349411010742,12.0,,,,,,,,,,,,,,,
281600,22.29029083251953,12.0,1370,0.0003,-2.3140816658735277,0.028935830453701784,0.45283203125,5.960464477539063e-08,1461.9763078689575,0.2,651.8714599609375,0.09238135,,,,,
282624,17.43109893798828,12.0,,,,,,,,,,,,,,,
283648,20.444440841674805,12.0,1380,0.0003,-2.313918200135231,0.009944340941729024,0.399853515625,0.0,1910.7200687408447,0.2,898.716064453125,0.074097544,,,,,
284672,18.139543533325195,12.0,,,,,,,,,,,,,,,
285696,15.130760192871094,12.0,1390,0.0003,-2.3267389237880707,0.013973508396884427,0.41416015625,0.0,1464.4355075836181,0.2,857.7286987304688,0.073542,,,,,
