time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/entropy_loss,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
113664,27.80135726928711,180.0,550,0.015484928,0.0003,-0.020219734848069493,18.277587512135504,0.246533203125,9.383021354675293,0.2,1.1920928955078125e-07,-4.0424691893160345,,,,,
114688,27.44145965576172,180.0,,,,,,,,,,,,,,,
115712,27.59665298461914,180.0,560,0.017312862,0.0003,-0.021786899406288286,18.686240002512932,0.248583984375,5.780283451080322,0.2,1.1920928955078125e-07,-4.058312860131264,,,,,
116736,27.992469787597656,180.0,,,,,,,,,,,,,,,
117760,26.93341827392578,180.0,570,0.017779838,0.0003,-0.018723689339822158,18.022209338843822,0.21640625,5.337371826171875,0.2,0.0,-4.046593709290027,,,,,
118784,28.76836395263672,180.0,,,,,,,,,,,,,,,
119808,32.18095779418945,180.0,580,0.02139126,0.0003,-0.02093883680208819,18.810447722673416,0.252685546875,6.3296122550964355,0.2,0.0,-4.023979752510786,,,,,
120832,28.652753829956055,180.0,,,,,,,,,,,,,,,
121856,31.276229858398438,180.0,590,0.0148521755,0.0003,-0.017035121924709528,20.85969650745392,0.2009765625,12.724525451660156,0.2,0.0,-4.003853928297758,,,,,
122880,29.550846099853516,180.0,,,,,,,,,,,,,,,
122880,,,,,,,,,,,,,229,60,535,180.0,27.8042706
123904,31.77875518798828,180.0,600,0.016545843,0.0003,-0.020174356749339494,15.861463387310504,0.228515625,9.259777069091797,0.2,-1.1920928955078125e-07,-3.9406410276889803,,,,,
124928,29.427248001098633,180.0,,,,,,,,,,,,,,,
125952,30.591537475585938,180.0,610,0.018154677,0.0003,-0.022597569529898463,19.819417080283166,0.250390625,15.04109001159668,0.2,0.0,-3.8900647684931755,,,,,
126976,31.92470359802246,180.0,,,,,,,,,,,,,,,
128000,32.023414611816406,180.0,620,0.016706249,0.0003,-0.021567835775204002,20.733923360705376,0.2412109375,10.249372482299805,0.2,1.1920928955078125e-07,-3.8183655023574827,,,,,
129024,32.15596389770508,180.0,,,,,,,,,,,,,,,
130048,30.80776596069336,180.0,630,0.016449587,0.0003,-0.01687969803751912,19.556903091073035,0.20419921875,10.857560157775879,0.2,1.1920928955078125e-07,-3.782118596881628,,,,,
131072,33.34688186645508,180.0,,,,,,,,,,,,,,,
132096,32.76053237915039,180.0,640,0.0196205,0.0003,-0.023922853567637504,20.474355924129487,0.264892578125,7.548362731933594,0.2,1.7881393432617188e-07,-3.7129795379936694,,,,,
133120,31.36802864074707,180.0,,,,,,,,,,,,,,,
134144,35.96218490600586,180.0,650,0.017840032,0.0003,-0.019922825250250752,18.681300882995128,0.23486328125,10.785964965820312,0.2,0.0,-3.7500100068748,,,,,
135168,33.35518264770508,180.0,,,,,,,,,,,,,,,
136192,33.08293151855469,180.0,660,0.017810121,0.0003,-0.01582121036481112,20.097450459003447,0.215625,10.138691902160645,0.2,-1.1920928955078125e-07,-3.7519707031548024,,,,,
137216,33.086891174316406,180.0,,,,,,,,,,,,,,,
138240,34.75107955932617,180.0,670,0.017310502,0.0003,-0.017644016578560694,20.858198368549346,0.201953125,11.64339828491211,0.2,0.0,-3.734062007069588,,,,,
139264,35.377540588378906,180.0,,,,,,,,,,,,,,,
140288,35.94620132446289,180.0,680,0.0152934035,0.0003,-0.014630586546263657,20.090518656373025,0.176708984375,7.647843837738037,0.2,0.0,-3.7163299955427647,,,,,
141312,36.834442138671875,180.0,,,,,,,,,,,,,,,
142336,36.34754180908203,180.0,690,0.016211223,0.0003,-0.017618595194653607,20.127599726617337,0.189794921875,10.711167335510254,0.2,-1.1920928955078125e-07,-3.6872605495154858,,,,,
143360,35.79264831542969,180.0,,,,,,,,,,,,,,,
143360,,,,,,,,,,,,,239,70,598,180.0,33.066970940000004
144384,37.36878967285156,180.0,700,0.018567521,0.0003,-0.01960923485312378,18.361856807768344,0.232568359375,7.295597076416016,0.2,0.0,-3.69808748960495,,,,,
145408,36.11439895629883,180.0,,,,,,,,,,,,,,,
146432,38.051692962646484,180.0,710,0.018048324,0.0003,-0.020732281835807952,21.485413604974745,0.2328125,15.382074356079102,0.2,0.0,-3.7209034979343416,,,,,
147456,35.065589904785156,180.0,,,,,,,,,,,,,,,
148480,38.70034408569336,180.0,720,0.015759699,0.0003,-0.01531437813100638,23.50829025506973,0.21181640625,11.133931159973145,0.2,0.0,-3.7224655538797378,,,,,
149504,36.65578842163086,180.0,,,,,,,,,,,,,,,
150528,36.73020935058594,180.0,730,0.014974855,0.0003,-0.020115488755982368,21.01542134284973,0.2083984375,9.703401565551758,0.2,1.1920928955078125e-07,-3.6960780046880246,,,,,
151552,38.334938049316406,180.0,,,,,,,,,,,,,,,
