time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl,train/std,train/policy_gradient_loss,train/n_updates,train/value_loss
651840,1200.0,10247.497407,,,,,,0.0003,0.2,-257.23320446014407,0.337451171875,10.01269817352295,0.0,0.03636493,0.8918566107749939,-0.03302381007670192,3170,28.524540984630583
653040,1200.0,10270.139451,,,,,,,,,,,,,,,,
653664,,,1138,1200.0,248,138,6360.137900170001,,,,,,,,,,,
654240,1200.0,9039.992344,,,,,,0.0003,0.2,-256.9673006057739,0.36474609375,16.721948623657227,0.0,0.036382236,0.8910640478134155,-0.03197640824873815,3180,28.965655687451363
655440,1200.0,9057.871193,,,,,,,,,,,,,,,,
655712,,,1147,1200.0,248,139,6388.113501230001,,,,,,,,,,,
656640,1200.0,9923.394338,,,,,,0.0003,0.2,-256.7533531188965,0.3205078125,18.211027145385742,0.0,0.037233453,0.8900102972984314,-0.030206932111468632,3190,33.555311650037766
657760,,,1153,1200.0,248,140,6402.1462994700005,,,,,,,,,,,
657840,1200.0,9761.396432,,,,,,0.0003,0.2,-256.61525135040284,0.3779296875,13.90991497039795,5.960464477539063e-08,0.04130587,0.889738142490387,-0.03055253314669244,3200,27.208468881249427
659040,1200.0,9785.135368,,,,,,,,,,,,,,,,
659808,,,1162,1200.0,248,141,6430.74431383,,,,,,,,,,,
660240,1200.0,9758.743609,,,,,,0.0003,0.2,-256.6308406829834,0.362060546875,17.145357131958008,1.1920928955078125e-07,0.039466195,0.8901625871658325,-0.030852256729849613,3210,31.99766454100609
661440,1200.0,9715.488584,,,,,,,,,,,,,,,,
661856,,,1171,1200.0,248,142,6458.9477843800005,,,,,,,,,,,
