eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/clip_range,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations
40.0,51.59442138671875,68608,0.0,0.0003,156088.26040039063,0.07138521,0.4205078125,-0.029071184442727827,74304.875,330,-6.381649236381054,0.2,,,,,
40.0,51.169288635253906,69632,,,,,,,,,,,,,,,
40.0,54.603389739990234,70656,-1.1920928955078125e-07,0.0003,138608.4864501953,0.07626409,0.399609375,-0.029071145367925055,58659.9140625,340,-6.38102462887764,0.2,,,,,
40.0,46.43821716308594,71680,,,,,,,,,,,,,,,
40.0,47.38178253173828,72704,0.0,0.0003,157764.08618164062,0.07342672,0.410986328125,-0.036435365030774845,84950.3359375,350,-6.379978504776955,0.2,,,,,
40.0,55.45658874511719,73728,,,,,,,,,,,,,,,
40.0,46.513572692871094,74752,-1.1920928955078125e-07,0.0003,166601.7744140625,0.070997566,0.398486328125,-0.030750378684024325,76119.984375,360,-6.378681367635727,0.2,,,,,
40.0,48.69209289550781,75776,,,,,,,,,,,,,,,
40.0,48.7172966003418,76800,0.0,0.0003,159967.41298828126,0.07103011,0.402783203125,-0.030661937067634426,86797.09375,370,-6.377682527899742,0.2,,,,,
40.0,46.52729797363281,77824,,,,,,,,,,,,,,,
40.0,50.17551040649414,78848,0.0,0.0003,146683.8126953125,0.07160346,0.409033203125,-0.03108965897699818,78119.921875,380,-6.377000977098942,0.2,,,,,
40.0,50.33906936645508,79872,,,,,,,,,,,,,,,
40.0,51.23176956176758,80896,0.0,0.0003,145380.8374511719,0.07696652,0.42841796875,-0.030337975530710538,71061.2890625,390,-6.376320803165436,0.2,,,,,
40.0,46.266876220703125,81920,,,,,,,,,,,,,,,
,,81920,,,,,,,,,,,218,1237.72769082,40.0,374,40
40.0,46.728004455566406,82944,0.0,0.0003,140606.7145751953,0.075116485,0.418505859375,-0.028745520097436382,64994.05859375,400,-6.375853605568409,0.2,,,,,
40.0,47.849544525146484,83968,,,,,,,,,,,,,,,
40.0,54.63627624511719,84992,0.0,0.0003,140054.71650390624,0.0703574,0.400537109375,-0.02772972633538302,74685.7734375,410,-6.375054083764553,0.2,,,,,
40.0,45.86566925048828,86016,,,,,,,,,,,,,,,
40.0,46.23188781738281,87040,0.0,0.0003,159198.33881835936,0.07446164,0.422509765625,-0.027068259187217336,79546.1953125,420,-6.373929585516453,0.2,,,,,
40.0,53.779945373535156,88064,,,,,,,,,,,,,,,
40.0,48.28936004638672,89088,0.0,0.0003,155663.09274902343,0.08348316,0.447998046875,-0.021493668886250816,79556.421875,430,-6.373447342216968,0.2,,,,,
40.0,52.41069030761719,90112,,,,,,,,,,,,,,,
40.0,42.90168380737305,91136,0.0,0.0003,132125.23012695313,0.07599613,0.409326171875,-0.029624911746941505,67073.0546875,440,-6.373401974141598,0.2,,,,,
40.0,46.77352523803711,92160,,,,,,,,,,,,,,,
40.0,50.59981918334961,93184,0.0,0.0003,174067.01528320313,0.07098077,0.41435546875,-0.029238740407163278,97864.78125,450,-6.373281452059746,0.2,,,,,
40.0,49.28364562988281,94208,,,,,,,,,,,,,,,
40.0,49.1759033203125,95232,0.0,0.0003,141761.7741455078,0.072733596,0.41845703125,-0.025110201619099826,77407.484375,460,-6.372694234549999,0.2,,,,,
40.0,52.36137008666992,96256,,,,,,,,,,,,,,,
40.0,51.11321258544922,97280,0.0,0.0003,153795.96501464845,0.07277454,0.4228515625,-0.028264785365900026,71383.65625,470,-6.37220777720213,0.2,,,,,
40.0,59.11443328857422,98304,,,,,,,,,,,,,,,
40.0,53.16300964355469,99328,0.0,0.0003,140053.655859375,0.0719161,0.41181640625,-0.022832676518009975,81375.265625,480,-6.371658580005169,0.2,,,,,
40.0,50.174720764160156,100352,,,,,,,,,,,,,,,
40.0,54.85254669189453,101376,-1.1920928955078125e-07,0.0003,147352.50986328124,0.078592494,0.42958984375,-0.024366952129639685,75378.5078125,490,-6.370875011384487,0.2,,,,,
40.0,46.78956604003906,102400,,,,,,,,,,,,,,,
,,102400,,,,,,,,,,,219,1308.05400586,40.0,465,50
40.0,47.559593200683594,103424,0.0,0.0003,162756.86516113282,0.07638939,0.406787109375,-0.032010859312140386,83830.765625,500,-6.370266827940941,0.2,,,,,
40.0,46.883785247802734,104448,,,,,,,,,,,,,,,
40.0,52.422142028808594,105472,1.1920928955078125e-07,0.0003,138904.2369873047,0.07464935,0.413525390625,-0.02568785408511758,74072.2265625,510,-6.369308270514011,0.2,,,,,
40.0,52.15431213378906,106496,,,,,,,,,,,,,,,
40.0,50.892295837402344,107520,0.0,0.0003,155747.12224121095,0.069956556,0.41455078125,-0.02936255361419171,87527.4609375,520,-6.36866462379694,0.2,,,,,
40.0,42.75371551513672,108544,,,,,,,,,,,,,,,
40.0,51.624114990234375,109568,-2.384185791015625e-07,0.0003,165321.35510253906,0.07162055,0.419970703125,-0.02263870058377506,79056.890625,530,-6.3683476626873015,0.2,,,,,
40.0,51.24846649169922,110592,,,,,,,,,,,,,,,
40.0,48.8694953918457,111616,0.0,0.0003,140892.5213623047,0.07526554,0.421923828125,-0.028104192978935315,76397.3671875,540,-6.367478057742119,0.2,,,,,
40.0,46.864383697509766,112640,,,,,,,,,,,,,,,
40.0,49.47215270996094,113664,0.0,0.0003,144956.33110351564,0.07257674,0.412939453125,-0.03005542808241444,69004.640625,550,-6.366941642761231,0.2,,,,,
40.0,46.64765930175781,114688,,,,,,,,,,,,,,,
40.0,49.82706832885742,115712,0.0,0.0003,139921.22631835938,0.07979984,0.39326171875,-0.02589918638841482,67003.6484375,560,-6.366090427339077,0.2,,,,,
40.0,50.75583267211914,116736,,,,,,,,,,,,,,,
