eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed
180.0,171008,68.73394012451172,0.21328125,-3.486446364223957,0.017591763,15.676894187927246,0.0003,830,50.5472912311554,-0.017420266864064615,0.2,-1.1920928955078125e-07,,,,,
180.0,172032,62.651424407958984,,,,,,,,,,,,,,,
180.0,173056,69.65855407714844,0.2109375,-3.48371928781271,0.015284423,19.821788787841797,0.0003,840,45.90116005539894,-0.017295184580143542,0.2,0.0,,,,,
180.0,174080,68.91454315185547,,,,,,,,,,,,,,,
180.0,175104,65.07181549072266,0.16884765625,-3.5330941498279573,0.01694329,32.23731994628906,0.0003,850,55.369950675964354,-0.01335980179865146,0.2,0.0,,,,,
180.0,176128,65.5108871459961,,,,,,,,,,,,,,,
180.0,177152,69.31887817382812,0.1427734375,-3.536627443879843,0.013678659,24.74574089050293,0.0003,860,53.683338940143585,-0.009436128074594308,0.2,0.0,,,,,
180.0,178176,67.28704833984375,,,,,,,,,,,,,,,
180.0,179200,66.66412353515625,0.214404296875,-3.532587598264217,0.013373327,21.48174476623535,0.0003,870,48.33945578932762,-0.014909270613861736,0.2,0.0,,,,,
180.0,180224,68.37423706054688,,,,,,,,,,,,,,,
180.0,181248,68.31411743164062,0.21162109375,-3.536878302693367,0.015515985,26.265043258666992,0.0003,880,49.93639028072357,-0.01788292750425171,0.2,0.0,,,,,
180.0,182272,69.3321533203125,,,,,,,,,,,,,,,
180.0,183296,64.97210693359375,0.1802734375,-3.529695402085781,0.014651704,47.57245635986328,0.0003,890,56.575876116752625,-0.01554667672753567,0.2,0.0,,,,,
180.0,184320,67.16199493408203,,,,,,,,,,,,,,,
,184320,,,,,,,,,,,,67.90547008,180.0,295,90,623
180.0,185344,71.03103637695312,0.180810546875,-3.5194613829255106,0.01740601,45.11566925048828,0.0003,900,58.633294981718066,-0.014602588045818266,0.2,0.0,,,,,
180.0,186368,68.1810302734375,,,,,,,,,,,,,,,
180.0,187392,67.79258728027344,0.161669921875,-3.5027886793017387,0.01547531,21.96431541442871,0.0003,910,60.10570424795151,-0.011625548415759112,0.2,0.0,,,,,
180.0,188416,71.21298217773438,,,,,,,,,,,,,,,
180.0,189440,73.47052001953125,0.25625,-3.4732291139662266,0.019276675,33.37391662597656,0.0003,920,52.59465963244438,-0.020892244318383747,0.2,0.0,,,,,
180.0,190464,68.68997192382812,,,,,,,,,,,,,,,
180.0,191488,71.83918762207031,0.189208984375,-3.4438288636505603,0.016625479,22.7601261138916,0.0003,930,51.77066135406494,-0.01592802848899737,0.2,0.0,,,,,
180.0,192512,72.31172180175781,,,,,,,,,,,,,,,
180.0,193536,69.69172668457031,0.165576171875,-3.4350794605910777,0.014733684,19.383630752563477,0.0003,940,46.61286031603813,-0.01174438965608715,0.2,0.0,,,,,
180.0,194560,71.77276611328125,,,,,,,,,,,,,,,
180.0,195584,72.34517669677734,0.22822265625,-3.394498924911022,0.015172596,22.622848510742188,0.0003,950,43.13940957188606,-0.016079608490690588,0.2,0.0,,,,,
180.0,196608,70.80496215820312,,,,,,,,,,,,,,,
180.0,197632,69.31707763671875,0.215283203125,-3.3777051948010923,0.016555581,21.335081100463867,0.0003,960,52.739670073986055,-0.014336988507420757,0.2,0.0,,,,,
180.0,198656,70.81080627441406,,,,,,,,,,,,,,,
180.0,199680,75.38679504394531,0.162255859375,-3.3710512667894363,0.015033832,22.09708595275879,0.0003,970,52.084106910228726,-0.01274565037456341,0.2,0.0,,,,,
180.0,200704,76.12126922607422,,,,,,,,,,,,,,,
