time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/value_loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/approx_kl,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean
184320,62.35162353515625,180.0,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,316,90,582,180.0,64.91017003999998
185344,63.99623107910156,180.0,52.52385777831078,0.0003,-3.5154618874192236,-0.015272232598363189,0.0,24.37371063232422,900,0.2,0.20458984375,0.017035268,,,,,
186368,67.8709716796875,180.0,,,,,,,,,,,,,,,
187392,67.9761962890625,180.0,58.183358180522916,0.0003,-3.509123121201992,-0.012889374191581737,0.0,31.00765609741211,910,0.2,0.17275390625,0.014521055,,,,,
188416,66.3079833984375,180.0,,,,,,,,,,,,,,,
189440,67.5502700805664,180.0,49.69650527238846,0.0003,-3.480559101700783,-0.014367325650528073,0.0,20.90846824645996,920,0.2,0.20068359375,0.014798457,,,,,
190464,64.34992980957031,180.0,,,,,,,,,,,,,,,
191488,71.40763092041016,180.0,47.96638032197952,0.0003,-3.4517509400844575,-0.01421531811938621,0.0,21.771224975585938,930,0.2,0.16845703125,0.014348516,,,,,
192512,71.82452392578125,180.0,,,,,,,,,,,,,,,
193536,67.5820541381836,180.0,49.938437044620514,0.0003,-3.4655592888593674,-0.01103852552914759,-1.1920928955078125e-07,35.05110168457031,940,0.2,0.12236328125,0.013866352,,,,,
194560,73.20356750488281,180.0,,,,,,,,,,,,,,,
195584,71.57522583007812,180.0,53.76270614266396,0.0003,-3.4457961045205594,-0.014711576180707198,0.0,33.53841018676758,950,0.2,0.200732421875,0.015328173,,,,,
196608,70.97100830078125,180.0,,,,,,,,,,,,,,,
197632,73.09030151367188,180.0,54.44181139469147,0.0003,-3.4229570627212524,-0.015115818970662076,0.0,23.278656005859375,960,0.2,0.19384765625,0.017045423,,,,,
198656,73.28799438476562,180.0,,,,,,,,,,,,,,,
199680,71.33859252929688,180.0,50.14423068165779,0.0003,-3.4236984342336654,-0.012716667381755541,0.0,31.43085289001465,970,0.2,0.164599609375,0.013859136,,,,,
200704,68.458251953125,180.0,,,,,,,,,,,,,,,
