time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations
329728,36.45463180541992,80.0,3e-05,-0.010048045032090159,34.05262409001589,0.1458984375,13.01800537109375,0.1,0.0,0.0033220556,800,-5.373322198167443,,,,,
331776,37.339691162109375,80.0,,,,,,,,,,,,,,,
333824,31.78481674194336,80.0,3e-05,-0.011116509120438423,34.260364974290134,0.1576416015625,24.444316864013672,0.1,0.0,0.0034598846,810,-5.3564097944647076,,,,,
335872,32.696624755859375,80.0,,,,,,,,,,,,,,,
337920,37.75996780395508,80.0,3e-05,-0.012743961486285116,31.7816214337945,0.1837158203125,17.66878890991211,0.1,0.0,0.0037067798,820,-5.3350952815264465,,,,,
339968,35.46181106567383,80.0,,,,,,,,,,,,,,,
342016,42.19244384765625,80.0,3e-05,-0.010657263888697343,35.762839924544096,0.142431640625,28.321613311767578,0.1,1.1920928955078125e-07,0.0034240962,830,-5.308431476727128,,,,,
344064,35.85574722290039,80.0,,,,,,,,,,,,,,,
346112,40.79667663574219,80.0,3e-05,-0.011824578855885193,36.769335275888444,0.1671875,23.969823837280273,0.1,0.0,0.0034164106,840,-5.290815692394972,,,,,
348160,35.353904724121094,80.0,,,,,,,,,,,,,,,
350208,35.67648696899414,80.0,3e-05,-0.013523262998569407,35.99844775721431,0.1835693359375,20.972566604614258,0.1,0.0,0.0038198745,850,-5.277277627587319,,,,,
352256,37.00751495361328,80.0,,,,,,,,,,,,,,,
354304,35.962867736816406,80.0,3e-05,-0.010525602519192035,33.07394281700253,0.1430419921875,23.02840805053711,0.1,0.0,0.0032267207,860,-5.272743840143084,,,,,
356352,34.09538269042969,80.0,,,,,,,,,,,,,,,
358400,38.79139709472656,80.0,3e-05,-0.0108107455697791,32.42143659517169,0.1417236328125,16.769662857055664,0.1,0.0,0.0030793939,870,-5.260116754844785,,,,,
360448,36.41687774658203,80.0,,,,,,,,,,,,,,,
362496,38.173587799072266,80.0,3e-05,-0.01074645999869972,35.03245065137744,0.14482421875,16.71123695373535,0.1,-1.1920928955078125e-07,0.003450313,880,-5.247647275403142,,,,,
364544,34.92924880981445,80.0,,,,,,,,,,,,,,,
366592,35.89528274536133,80.0,3e-05,-0.01268604818978929,36.06370762214065,0.179296875,21.96685028076172,0.1,0.0,0.003659681,890,-5.230034963041544,,,,,
368640,39.808807373046875,80.0,,,,,,,,,,,,,,,
368640,,,,,,,,,,,,,37.08795091,80.0,51,7145,90
370688,38.411678314208984,80.0,3e-05,-0.010171234264180384,33.92211306467652,0.1374267578125,26.416702270507812,0.1,0.0,0.003380921,900,-5.211440617963672,,,,,
372736,38.273033142089844,80.0,,,,,,,,,,,,,,,
374784,40.378623962402344,80.0,3e-05,-0.011684318155494111,33.53120941743255,0.1682373046875,16.12140464782715,0.1,-1.1920928955078125e-07,0.0032786515,910,-5.191136952117086,,,,,
376832,44.21319580078125,80.0,,,,,,,,,,,,,,,
378880,37.5076904296875,80.0,3e-05,-0.0101686223917568,34.997053653001785,0.134228515625,19.307369232177734,0.1,1.1920928955078125e-07,0.003348446,920,-5.177992257848382,,,,,
380928,39.330345153808594,80.0,,,,,,,,,,,,,,,
382976,34.40855407714844,80.0,3e-05,-0.01031770064291777,34.61949518024922,0.144873046875,30.41530990600586,0.1,0.0,0.0034569618,930,-5.153077080473304,,,,,
385024,37.8581657409668,80.0,,,,,,,,,,,,,,,
387072,40.23163604736328,80.0,3e-05,-0.010497586009660154,34.50520417168737,0.1521484375,26.305526733398438,0.1,0.0,0.0034810281,940,-5.140900262072682,,,,,
389120,36.701812744140625,80.0,,,,,,,,,,,,,,,
391168,40.01775360107422,80.0,3e-05,-0.010926433397617074,35.23139478713274,0.1488525390625,24.0587100982666,0.1,0.0,0.003296447,950,-5.14318487085402,,,,,
