eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean
40.0,66.27127075195312,1278976,-1.1920928955078125e-07,12069.0263671875,-4.086904585361481,0.35947265625,0.2,0.014709594333544374,0.0003,30081.938220214844,6240,0.029139508,,,,,
40.0,67.98928833007812,1280000,,,,,,,,,,,,,,,
40.0,70.7672119140625,1281024,0.0,17781.08203125,-4.088511480391025,0.23876953125,0.2,0.006725463425391353,0.0003,35406.31333618164,6250,0.021014087,,,,,
40.0,69.94215393066406,1282048,,,,,,,,,,,,,,,
40.0,67.59095001220703,1283072,0.0,15188.595703125,-4.075328010320663,0.3095703125,0.2,0.008166461513610557,0.0003,29536.61213378906,6260,0.024322309,,,,,
40.0,74.81452178955078,1284096,,,,,,,,,,,,,,,
40.0,67.9644775390625,1285120,0.0,13778.16015625,-4.05042279958725,0.30478515625,0.2,0.0022140442102681845,0.0003,27180.80924682617,6270,0.022183698,,,,,
40.0,73.09904479980469,1286144,,,,,,,,,,,,,,,
40.0,70.24418640136719,1287168,0.0,12228.1181640625,-4.054232113063335,0.24921875,0.2,0.008174737429362722,0.0003,29071.27719116211,6280,0.021278754,,,,,
40.0,68.27471923828125,1288192,,,,,,,,,,,,,,,
40.0,70.83547973632812,1289216,-1.1920928955078125e-07,12340.96484375,-4.060400356352329,0.319482421875,0.2,0.006472864719398785,0.0003,30026.43169555664,6290,0.026424382,,,,,
40.0,70.32933807373047,1290240,,,,,,,,,,,,,,,
,,1290240,,,,,,,,,,,1737.0248496700003,475,630,2710,40.0
40.0,68.57937622070312,1291264,0.0,16147.1328125,-4.062977965176105,0.261083984375,0.2,0.00739616136852419,0.0003,30247.91516723633,6300,0.021511316,,,,,
40.0,71.42100524902344,1292288,,,,,,,,,,,,,,,
40.0,64.6741714477539,1293312,0.0,15555.1806640625,-4.080978499352932,0.288037109375,0.2,0.011529335254454053,0.0003,27374.48695678711,6310,0.023550928,,,,,
40.0,67.48286437988281,1294336,,,,,,,,,,,,,,,
40.0,74.36560821533203,1295360,0.0,16596.099609375,-4.086158512532711,0.302587890625,0.2,0.008499162833322771,0.0003,30880.8303894043,6320,0.025737438,,,,,
40.0,72.44981384277344,1296384,,,,,,,,,,,,,,,
40.0,72.05357360839844,1297408,0.0,15920.8837890625,-4.088705804944039,0.309130859375,0.2,0.012105547059036326,0.0003,30248.168383789063,6330,0.02501701,,,,,
40.0,69.67070770263672,1298432,,,,,,,,,,,,,,,
40.0,68.90673828125,1299456,-1.1920928955078125e-07,12880.7509765625,-4.09945524930954,0.28720703125,0.2,0.0055932925824890845,0.0003,29579.409826660158,6340,0.023117036,,,,,
40.0,73.00846862792969,1300480,,,,,,,,,,,,,,,
40.0,73.96080017089844,1301504,0.0,15190.2021484375,-4.1109567284584045,0.3263671875,0.2,0.011881656282639597,0.0003,30318.218859863282,6350,0.026781606,,,,,
40.0,75.80445861816406,1302528,,,,,,,,,,,,,,,
40.0,69.66648864746094,1303552,5.960464477539063e-08,12582.6796875,-4.091356709599495,0.29794921875,0.2,0.01564328131789807,0.0003,31108.24306640625,6360,0.0245534,,,,,
40.0,65.68122863769531,1304576,,,,,,,,,,,,,,,
40.0,64.87777709960938,1305600,0.0,15251.5126953125,-4.07615317106247,0.269677734375,0.2,0.016729475825559347,0.0003,30614.58828125,6370,0.023531595,,,,,
40.0,73.50208282470703,1306624,,,,,,,,,,,,,,,
40.0,70.83915710449219,1307648,5.960464477539063e-08,15846.806640625,-4.065243391692638,0.30712890625,0.2,0.008935959383961745,0.0003,23900.28908691406,6380,0.025833523,,,,,
40.0,68.34601593017578,1308672,,,,,,,,,,,,,,,
40.0,66.05513000488281,1309696,0.0,16396.1796875,-4.029845298826695,0.299462890625,0.2,0.00994948225998087,0.0003,29638.52781982422,6390,0.025304675,,,,,
40.0,72.0623550415039,1310720,,,,,,,,,,,,,,,
,,1310720,,,,,,,,,,,1746.0157478700003,475,640,2753,40.0
40.0,72.46849060058594,1311744,0.0,14634.759765625,-4.028094992041588,0.312158203125,0.2,0.011397509160451591,0.0003,28202.49725341797,6400,0.025843728,,,,,
40.0,73.08367156982422,1312768,,,,,,,,,,,,,,,
40.0,72.13031768798828,1313792,-1.1920928955078125e-07,17272.9453125,-4.035281322896481,0.2626953125,0.2,0.013188152805378195,0.0003,32358.35237426758,6410,0.0223195,,,,,
40.0,72.67937469482422,1314816,,,,,,,,,,,,,,,
40.0,67.7623291015625,1315840,0.0,12712.53515625,-4.045931513607502,0.27529296875,0.2,0.009804064783384091,0.0003,28040.76951904297,6420,0.022651918,,,,,
40.0,75.40141296386719,1316864,,,,,,,,,,,,,,,
40.0,72.35102081298828,1317888,0.0,14557.3671875,-4.050146560370922,0.32353515625,0.2,0.01052677801635582,0.0003,28650.405358886717,6430,0.026494393,,,,,
40.0,73.00691223144531,1318912,,,,,,,,,,,,,,,
40.0,74.07548522949219,1319936,0.0,13894.8388671875,-4.062612511217594,0.269091796875,0.2,0.0048741050246462695,0.0003,27869.74832763672,6440,0.020977752,,,,,
40.0,70.73548889160156,1320960,,,,,,,,,,,,,,,
40.0,67.45285034179688,1321984,0.0,12261.5478515625,-4.0548991590738295,0.2759765625,0.2,0.015392255818005652,0.0003,28711.086389160155,6450,0.023584701,,,,,
40.0,66.56983184814453,1323008,,,,,,,,,,,,,,,
40.0,72.5374755859375,1324032,0.0,14768.0712890625,-4.058435916900635,0.262109375,0.2,0.020280681406438815,0.0003,29644.850158691406,6460,0.023587711,,,,,
40.0,72.90752410888672,1325056,,,,,,,,,,,,,,,
40.0,67.7834701538086,1326080,0.0,17094.087890625,-4.051584039628506,0.2716796875,0.2,0.010551825066795573,0.0003,30708.834338378907,6470,0.022792347,,,,,
40.0,73.35589599609375,1327104,,,,,,,,,,,,,,,
40.0,70.9898681640625,1328128,0.0,17397.458984375,-4.055339388549328,0.299072265625,0.2,0.01724188051011879,0.0003,29103.061126708984,6480,0.026708907,,,,,
40.0,69.54945373535156,1329152,,,,,,,,,,,,,,,
40.0,64.1753158569336,1330176,0.0,18791.91796875,-4.046540987491608,0.316064453125,0.2,0.011243781054508873,0.0003,29680.2302734375,6490,0.02707928,,,,,
40.0,68.73861694335938,1331200,,,,,,,,,,,,,,,
,,1331200,,,,,,,,,,,1749.20970577,476,650,2796,40.0
40.0,69.2756118774414,1332224,5.960464477539063e-08,13855.7333984375,-4.041230581700802,0.37080078125,0.2,0.013238350796018494,0.0003,27105.488677978516,6500,0.030155696,,,,,
40.0,73.15486145019531,1333248,,,,,,,,,,,,,,,
40.0,70.50874328613281,1334272,0.0,14971.2998046875,-4.02664854824543,0.298291015625,0.2,0.014967111095029396,0.0003,29734.970812988282,6510,0.025970515,,,,,
40.0,69.5152587890625,1335296,,,,,,,,,,,,,,,
40.0,68.88182067871094,1336320,0.0,13531.5576171875,-4.016110099852085,0.26083984375,0.2,0.008095755951944738,0.0003,27046.503155517577,6520,0.022913659,,,,,
40.0,66.91018676757812,1337344,,,,,,,,,,,,,,,
40.0,68.57936096191406,1338368,-1.1920928955078125e-07,13981.9990234375,-4.026947228610515,0.24169921875,0.2,0.01066341933910735,0.0003,28138.560205078124,6530,0.022017393,,,,,
40.0,74.34337615966797,1339392,,,,,,,,,,,,,,,
40.0,69.43401336669922,1340416,0.0,14653.546875,-4.043974632024765,0.309130859375,0.2,0.01659093299385859,0.0003,27524.072875976562,6540,0.027110204,,,,,
40.0,72.33834075927734,1341440,,,,,,,,,,,,,,,
40.0,69.68213653564453,1342464,0.0,10694.412109375,-4.044475075602532,0.298681640625,0.2,0.01110331954259891,0.0003,24680.92452392578,6550,0.024254374,,,,,
40.0,69.60124206542969,1343488,,,,,,,,,,,,,,,
40.0,71.1005859375,1344512,0.0,14307.1552734375,-4.0366156414151195,0.33408203125,0.2,0.009476498208823615,0.0003,26850.373468017577,6560,0.025447018,,,,,
40.0,68.34110260009766,1345536,,,,,,,,,,,,,,,
40.0,73.70510864257812,1346560,-1.1920928955078125e-07,12588.7021484375,-4.042100739479065,0.32978515625,0.2,0.009595842643466312,0.0003,27310.784930419923,6570,0.028017417,,,,,
40.0,74.06938171386719,1347584,,,,,,,,,,,,,,,
40.0,68.41044616699219,1348608,-1.1920928955078125e-07,15199.849609375,-4.045597918331623,0.3203125,0.2,0.016290202853269875,0.0003,30465.550677490235,6580,0.027705427,,,,,
40.0,66.7109375,1349632,,,,,,,,,,,,,,,
40.0,64.99684143066406,1350656,0.0,10136.4814453125,-4.04509214758873,0.298681640625,0.2,0.01201480382878799,0.0003,24704.44890136719,6590,0.024981514,,,,,
40.0,67.72976684570312,1351680,,,,,,,,,,,,,,,
,,1351680,,,,,,,,,,,1730.09668731,476,660,2838,40.0
40.0,69.8755111694336,1352704,0.0,11798.12890625,-4.0290375500917435,0.359716796875,0.2,0.01564705814962508,0.0003,24924.772985839845,6600,0.029796965,,,,,
40.0,68.2518310546875,1353728,,,,,,,,,,,,,,,
40.0,66.76000213623047,1354752,0.0,11907.1923828125,-4.013253998756409,0.311083984375,0.2,0.016263012125273237,0.0003,26190.83153991699,6610,0.025867987,,,,,
40.0,70.86463928222656,1355776,,,,,,,,,,,,,,,
40.0,70.91323852539062,1356800,-1.1920928955078125e-07,11218.3056640625,-4.010018889605999,0.346630859375,0.2,0.01195497011358384,0.0003,23297.550646972657,6620,0.026456749,,,,,
40.0,65.41055297851562,1357824,,,,,,,,,,,,,,,
40.0,68.77253723144531,1358848,5.960464477539063e-08,11764.13671875,-4.015218676626683,0.3095703125,0.2,0.002724591099831741,0.0003,24107.55126953125,6630,0.024494944,,,,,
40.0,68.4068603515625,1359872,,,,,,,,,,,,,,,
40.0,66.428466796875,1360896,0.0,12433.8857421875,-4.035801196098328,0.343798828125,0.2,0.014912575203197775,0.0003,23899.561895751955,6640,0.027494043,,,,,
40.0,65.49226379394531,1361920,,,,,,,,,,,,,,,
40.0,71.88987731933594,1362944,0.0,8817.4580078125,-4.04945066422224,0.275048828125,0.2,0.01635529829072766,0.0003,22544.781790161134,6650,0.024753517,,,,,
40.0,66.90779113769531,1363968,,,,,,,,,,,,,,,
40.0,70.82756042480469,1364992,0.0,10168.107421875,-4.053398610651493,0.300439453125,0.2,0.008094379710382783,0.0003,24726.78236694336,6660,0.023881223,,,,,
40.0,76.70503234863281,1366016,,,,,,,,,,,,,,,
40.0,67.18025207519531,1367040,-1.1920928955078125e-07,12258.650390625,-4.048001800477505,0.2765625,0.2,0.02615801517677028,0.0003,28107.63102416992,6670,0.025560267,,,,,
40.0,71.13929748535156,1368064,,,,,,,,,,,,,,,
40.0,75.6354751586914,1369088,0.0,12778.87890625,-4.043839655816555,0.26435546875,0.2,0.013295961721451022,0.0003,25192.90484008789,6680,0.021733418,,,,,
40.0,72.8925552368164,1370112,,,,,,,,,,,,,,,
40.0,72.58231353759766,1371136,-1.1920928955078125e-07,12560.2060546875,-4.0621997833251955,0.2939453125,0.2,0.02001782054794603,0.0003,26900.13408203125,6690,0.026988868,,,,,
40.0,71.11508178710938,1372160,,,,,,,,,,,,,,,
,,1372160,,,,,,,,,,,1763.83661815,476,670,2880,40.0
40.0,70.51039123535156,1373184,0.0,12728.18359375,-4.060217744112014,0.318408203125,0.2,0.015813611896010115,0.0003,26588.097399902344,6700,0.028305747,,,,,
40.0,69.46277618408203,1374208,,,,,,,,,,,,,,,
40.0,66.95405578613281,1375232,-1.1920928955078125e-07,10582.6103515625,-4.048075941205025,0.323974609375,0.2,0.0202374235028401,0.0003,23152.81180419922,6710,0.026601344,,,,,
40.0,68.38329315185547,1376256,,,,,,,,,,,,,,,
40.0,69.19306182861328,1377280,-1.1920928955078125e-07,13972.091796875,-4.045229601860046,0.2716796875,0.2,0.020858229024452158,0.0003,23850.367864990236,6720,0.024642315,,,,,
40.0,68.57209777832031,1378304,,,,,,,,,,,,,,,
40.0,68.87196350097656,1379328,0.0,14302.3203125,-4.045865398645401,0.3513671875,0.2,0.009604132060485427,0.0003,24172.123541259767,6730,0.02737385,,,,,
40.0,69.72730255126953,1380352,,,,,,,,,,,,,,,
40.0,68.71830749511719,1381376,0.0,11059.431640625,-4.053465417027473,0.341845703125,0.2,0.02400781967880903,0.0003,24252.73013305664,6740,0.028650269,,,,,
40.0,69.61735534667969,1382400,,,,,,,,,,,,,,,
40.0,72.3254165649414,1383424,5.960464477539063e-08,10571.498046875,-4.014352921396494,0.336474609375,0.2,0.02091413719317643,0.0003,26681.52410888672,6750,0.027673425,,,,,
40.0,69.803466796875,1384448,,,,,,,,,,,,,,,
40.0,66.96568298339844,1385472,-1.1920928955078125e-07,11156.2998046875,-4.006774808466434,0.259765625,0.2,0.01777278696972644,0.0003,23881.10835571289,6760,0.023141641,,,,,
40.0,64.20484161376953,1386496,,,,,,,,,,,,,,,
40.0,66.75897979736328,1387520,0.0,9552.751953125,-4.029950918257237,0.29921875,0.2,0.014086303595104255,0.0003,23068.116009521484,6770,0.02515493,,,,,
40.0,67.22978973388672,1388544,,,,,,,,,,,,,,,
40.0,70.28691101074219,1389568,-1.1920928955078125e-07,10771.462890625,-4.018017080426216,0.373681640625,0.2,0.015358746756101027,0.0003,22575.935144042967,6780,0.028741512,,,,,
40.0,68.60059356689453,1390592,,,,,,,,,,,,,,,
40.0,65.74491882324219,1391616,0.0,10622.15625,-4.004940614104271,0.3921875,0.2,0.0123041430968442,0.0003,20968.341854858398,6790,0.03179602,,,,,
40.0,69.65935516357422,1392640,,,,,,,,,,,,,,,
,,1392640,,,,,,,,,,,1703.6251059000006,475,680,2927,40.0
40.0,66.89849853515625,1393664,0.0,11559.1123046875,-4.017872528731823,0.372412109375,0.2,0.007644827986950986,0.0003,19758.4339263916,6800,0.027054127,,,,,
40.0,68.3128890991211,1394688,,,,,,,,,,,,,,,
40.0,67.84066772460938,1395712,0.0,9007.1240234375,-4.0476880997419356,0.32275390625,0.2,0.015429328246682417,0.0003,22745.592874145506,6810,0.028204277,,,,,
