time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/learning_rate,train/loss,train/clip_range,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean
193536,27.0,33.13715362548828,-0.050490147684467954,49164.411560058594,-5.52886929512024,0.0003,22894.779296875,0.2,0.0,0.301416015625,0.032357626,940,,,,,
194560,27.0,33.83918762207031,,,,,,,,,,,,,,,
195584,27.0,35.768795013427734,-0.051088420342421156,48889.12913818359,-5.513445103168488,0.0003,23675.328125,0.2,0.0,0.28173828125,0.02752072,950,,,,,
196608,27.0,32.734073638916016,,,,,,,,,,,,,,,
197632,27.0,38.381065368652344,-0.047668893361696975,49195.10869140625,-5.496675635874271,0.0003,26525.61328125,0.2,0.0,0.30751953125,0.032535143,960,,,,,
198656,27.0,38.520668029785156,,,,,,,,,,,,,,,
199680,27.0,34.71691131591797,-0.04889696491882205,36790.89369506836,-5.49798798263073,0.0003,19866.91796875,0.2,-1.1920928955078125e-07,0.30185546875,0.031368207,970,,,,,
200704,27.0,36.4333610534668,,,,,,,,,,,,,,,
201728,27.0,36.510772705078125,-0.04992543568369001,41834.76192016601,-5.496042908728123,0.0003,17531.861328125,0.2,-1.1920928955078125e-07,0.3318359375,0.034218162,980,,,,,
202752,27.0,44.532962799072266,,,,,,,,,,,,,,,
203776,27.0,37.421226501464844,-0.04943954685004428,48443.256030273435,-5.476735447347164,0.0003,25009.349609375,0.2,-1.1920928955078125e-07,0.306689453125,0.031811304,990,,,,,
204800,27.0,37.61214065551758,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,348,651.2461500600001,100,587,27.0
205824,27.0,43.29045104980469,-0.054882278986042365,44969.385083007815,-5.449225792288781,0.0003,22006.70703125,0.2,0.0,0.308154296875,0.03231195,1000,,,,,
206848,27.0,36.06156921386719,,,,,,,,,,,,,,,
207872,27.0,43.748085021972656,-0.04652098844526335,40137.27210083008,-5.434600546956062,0.0003,15517.783203125,0.2,5.960464477539063e-08,0.297802734375,0.029525451,1010,,,,,
208896,27.0,43.81562805175781,,,,,,,,,,,,,,,
209920,27.0,37.577369689941406,-0.04681767125730403,46995.77893066406,-5.450100462138653,0.0003,24495.3359375,0.2,5.960464477539063e-08,0.295361328125,0.03135865,1020,,,,,
210944,27.0,36.8853759765625,,,,,,,,,,,,,,,
211968,27.0,36.16326904296875,-0.04740776161197573,42075.01871337891,-5.476085796952248,0.0003,20890.748046875,0.2,0.0,0.320166015625,0.032547206,1030,,,,,
212992,27.0,37.20764923095703,,,,,,,,,,,,,,,
214016,27.0,41.33161926269531,-0.04561107777408324,38393.20258789063,-5.4656593456864355,0.0003,16655.60546875,0.2,0.0,0.32177734375,0.03472721,1040,,,,,
215040,27.0,36.346656799316406,,,,,,,,,,,,,,,
216064,27.0,34.588531494140625,-0.05087610265472904,44269.65301513672,-5.461084318161011,0.0003,17206.671875,0.2,0.0,0.307177734375,0.031833798,1050,,,,,
217088,27.0,36.4514274597168,,,,,,,,,,,,,,,
218112,27.0,34.67777633666992,-0.04154531819513067,42431.819995117185,-5.461474254727364,0.0003,18738.3125,0.2,0.0,0.32783203125,0.034157686,1060,,,,,
219136,27.0,37.44329833984375,,,,,,,,,,,,,,,
220160,27.0,36.749122619628906,-0.05212120716460049,41629.24967041016,-5.453822365403175,0.0003,24475.435546875,0.2,0.0,0.29755859375,0.030249564,1070,,,,,
221184,27.0,38.07402801513672,,,,,,,,,,,,,,,
222208,27.0,35.95391845703125,-0.04739042120054364,42376.28561401367,-5.444851157069206,0.0003,22782.064453125,0.2,0.0,0.313720703125,0.03373325,1080,,,,,
223232,27.0,31.215635299682617,,,,,,,,,,,,,,,
224256,27.0,37.379241943359375,-0.0488240076607326,31724.565216064453,-5.428491994738579,0.0003,16967.16015625,0.2,-1.1920928955078125e-07,0.318408203125,0.035742417,1090,,,,,
225280,27.0,40.70436096191406,,,,,,,,,,,,,,,
225280,,,,,,,,,,,,,348,649.8839949200001,110,646,27.0
226304,27.0,35.99851989746094,-0.04885718187724706,43494.80673828125,-5.3978559345006945,0.0003,18579.49609375,0.2,0.0,0.32626953125,0.03437034,1100,,,,,
227328,27.0,37.24617004394531,,,,,,,,,,,,,,,
228352,27.0,29.95981216430664,-0.045299109574989414,38589.99887084961,-5.378839275240898,0.0003,18205.076171875,0.2,0.0,0.331884765625,0.036857672,1110,,,,,
229376,27.0,29.850154876708984,,,,,,,,,,,,,,,
230400,27.0,43.46065902709961,-0.04070102567784488,34824.53871459961,-5.378710560500622,0.0003,14671.0732421875,0.2,0.0,0.355810546875,0.037727244,1120,,,,,
231424,27.0,41.347164154052734,,,,,,,,,,,,,,,
