time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_fraction,train/learning_rate,train/value_loss,train/clip_range,train/loss,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed
188416,180.0,29.84994125366211,,,,,,,,,,,,,,,
189440,180.0,40.548709869384766,-0.010255856712319655,-1.0084397164173424,0.2988757,0.033104777336120605,920,0.63974609375,0.003,4.78130155513063,0.2,4.039795398712158,,,,,
190464,180.0,49.09605407714844,,,,,,,,,,,,,,,
191488,180.0,52.64771270751953,-0.01835275451958296,-0.7311593540478498,0.106628045,-0.25091493129730225,930,0.38984375,0.003,6.714785872772336,0.2,2.0523836612701416,,,,,
192512,180.0,46.470394134521484,,,,,,,,,,,,,,,
193536,180.0,34.302978515625,-0.02140868914048042,-0.7219449787400662,0.19338006,-0.5430792570114136,940,0.363818359375,0.003,4.989481372572482,0.2,5.647500038146973,,,,,
194560,180.0,47.042701721191406,,,,,,,,,,,,,,,
195584,180.0,45.147544860839844,-0.019211106892907993,-0.8818262946326285,0.24061349,-0.35836803913116455,950,0.545361328125,0.003,4.6147870402783155,0.2,6.90615701675415,,,,,
196608,180.0,51.08943557739258,,,,,,,,,,,,,,,
197632,180.0,60.72037887573242,-0.026543620973461655,-0.7997419581748545,0.33543092,-0.29675543308258057,960,0.53994140625,0.003,4.626437645405531,0.2,6.224308013916016,,,,,
198656,180.0,48.315895080566406,,,,,,,,,,,,,,,
199680,180.0,58.56494140625,-0.01841077013305039,-0.9270308637060225,0.18427905,-0.10915696620941162,970,0.5169921875,0.003,5.608574052527547,0.2,3.1247165203094482,,,,,
200704,180.0,62.277259826660156,,,,,,,,,,,,,,,
201728,180.0,55.58646774291992,-0.00196576237649424,-0.8234464857727289,0.31239763,0.01032102108001709,980,0.452685546875,0.003,5.385394705086947,0.2,10.078214645385742,,,,,
202752,180.0,63.07036590576172,,,,,,,,,,,,,,,
203776,180.0,63.486080169677734,-0.028508527365920598,-0.9209613285958766,0.169464,-0.39045047760009766,990,0.45849609375,0.003,7.743728143535554,0.2,7.7176833152771,,,,,
204800,180.0,64.54393768310547,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,50.12315200999999,100,180.0,270,756
205824,180.0,58.716346740722656,-0.011380629279301502,-1.0316121677868069,0.22267225,0.3263585567474365,1000,0.5330078125,0.003,6.132301371730864,0.2,1.7962766885757446,,,,,
206848,180.0,65.08434295654297,,,,,,,,,,,,,,,
207872,180.0,68.48933410644531,-0.01730346284166444,-0.874613167066127,0.21123214,0.23484545946121216,1010,0.51953125,0.003,3.6311572428327055,0.2,3.791464328765869,,,,,
208896,180.0,66.628662109375,,,,,,,,,,,,,,,
209920,180.0,64.45109558105469,-0.018346661004761698,-0.8588607990182936,0.24224132,0.5497841536998749,1020,0.531201171875,0.003,3.604579707002267,0.2,0.8259547352790833,,,,,
210944,180.0,65.28245544433594,,,,,,,,,,,,,,,
211968,180.0,64.24920654296875,-0.03790612067386974,-0.7755614540074021,0.41156906,0.3954390287399292,1030,0.46201171875,0.003,3.4889752180315554,0.2,2.023585319519043,,,,,
212992,180.0,60.07246017456055,,,,,,,,,,,,,,,
214016,180.0,70.84223175048828,-0.005721910177817336,-1.0211691522970796,0.26059848,0.7882613688707352,1040,0.573291015625,0.003,3.1707868927391245,0.2,1.0775634050369263,,,,,
215040,180.0,67.44290924072266,,,,,,,,,,,,,,,
216064,180.0,63.88237762451172,-0.031168234184588074,-0.6781294573098421,0.26098728,0.6301600933074951,1050,0.3533203125,0.003,7.33780120597221,0.2,3.7884039878845215,,,,,
217088,180.0,61.610450744628906,,,,,,,,,,,,,,,
218112,180.0,63.322998046875,-0.02284195685424493,-0.682876865658909,0.16642383,0.5880921185016632,1060,0.3302734375,0.003,7.697312936838716,0.2,3.703373670578003,,,,,
219136,180.0,60.71485137939453,,,,,,,,,,,,,,,
220160,180.0,64.45320892333984,-0.04100431118204142,-0.7329482578672468,0.22564198,0.2680196762084961,1070,0.444921875,0.003,8.739512838609517,0.2,2.2919254302978516,,,,,
221184,180.0,67.2817611694336,,,,,,,,,,,,,,,
222208,180.0,63.942970275878906,-0.02745542979464517,-0.5788610059767961,0.15644604,0.3533385396003723,1080,0.396142578125,0.003,6.296651915810071,0.2,4.0116496086120605,,,,,
223232,180.0,68.43960571289062,,,,,,,,,,,,,,,
224256,180.0,64.02837371826172,-0.033203950931783764,-0.8079675828106702,0.44545346,0.5749589502811432,1090,0.571044921875,0.003,4.27185508501716,0.2,2.8994452953338623,,,,,
