time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/clip_range,train/explained_variance,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/n_updates,train/learning_rate,train/std,train/entropy_loss,train/loss
333840,14409.865466,1200.0,,,,,,,,,,,,,,,,
334592,,,1574,49,4477.19936814,1200.0,63,,,,,,,,,,,
335040,11388.026926,1200.0,,,,,,0.2,0.0,0.032228053,0.3501953125,-0.03496723062999081,2.088419756665826,1630,0.0003,0.9793579578399658,-278.4965129852295,1.004807472229004
336240,11307.920178,1200.0,,,,,,,,,,,,,,,,
336640,,,1608,50,4479.96661959,1200.0,63,,,,,,,,,,,
337440,15379.048118,1200.0,,,,,,0.2,0.0,0.03770578,0.362060546875,-0.036870440826169214,2.1331762313842773,1640,0.0003,0.9786623120307922,-278.3182300567627,1.0466935634613037
338640,15448.625559,1200.0,,,,,,,,,,,,,,,,
338688,,,1642,51,4482.566098470001,1200.0,63,,,,,,,,,,,
339840,15391.155578,1200.0,,,,,,0.2,1.1920928955078125e-07,0.03463076,0.371728515625,-0.038985665031941605,2.208407087624073,1650,0.0003,0.9794492721557617,-278.36712465286257,1.333729863166809
340736,,,1668,52,4483.8280888300005,1200.0,63,,,,,,,,,,,
341040,15363.700343,1200.0,,,,,,0.2,0.0,0.032016587,0.356005859375,-0.03604367315710988,2.2591942943632604,1660,0.0003,0.9786970019340515,-278.30905122756957,0.686072826385498
342240,15398.407099,1200.0,,,,,,,,,,,,,,,,
342784,,,1702,53,4486.49574002,1200.0,63,,,,,,,,,,,
343440,15337.013089,1200.0,,,,,,0.2,0.0,0.03340538,0.364794921875,-0.03672407724079676,1.9863927539438009,1670,0.0003,0.9785006642341614,-278.2300864219666,1.759171485900879
344640,15316.668914,1200.0,,,,,,,,,,,,,,,,
344832,,,1736,54,4489.32465962,1200.0,63,,,,,,,,,,,
345840,15296.078789,1200.0,,,,,,0.2,1.1920928955078125e-07,0.039838742,0.376025390625,-0.03700164818146732,2.3930409640073775,1680,0.0003,0.9783374071121216,-278.16308574676515,1.210461139678955
346880,,,1762,55,4490.47711993,1200.0,63,,,,,,,,,,,
347040,15444.492486,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.03491302,0.354736328125,-0.0349727326160064,1.8595467574894429,1690,0.0003,0.9780257344245911,-278.1257472038269,0.8820151090621948
348240,15438.372364,1200.0,,,,,,,,,,,,,,,,
348928,,,1795,56,4493.95599089,1200.0,63,,,,,,,,,,,
349440,13502.559171,1200.0,,,,,,0.2,-1.1920928955078125e-07,0.03629276,0.36826171875,-0.03895569532760419,2.871695085242391,1700,0.0003,0.9788667559623718,-278.19771814346313,1.6198694705963135
350640,13569.926163,1200.0,,,,,,,,,,,,,,,,
350976,,,1829,57,4496.7702006300005,1200.0,63,,,,,,,,,,,
351840,13324.585885,1200.0,,,,,,0.2,0.0,0.034838505,0.362646484375,-0.03523450062784832,2.315044316276908,1710,0.0003,0.9784833788871765,-278.20496730804444,0.9412546753883362
353024,,,1854,58,4498.34155636,1200.0,64,,,,,,,,,,,
353040,13129.707779,1200.0,,,,,,0.2,0.0,0.037882954,0.369287109375,-0.03679646845557727,2.84607466198504,1720,0.0003,0.9783148169517517,-278.1574962615967,1.1326805353164673
354240,13139.707739,1200.0,,,,,,,,,,,,,,,,
355072,,,1888,59,4501.25567549,1200.0,63,,,,,,,,,,,
355440,11278.050576,1200.0,,,,,,0.2,1.1920928955078125e-07,0.03379476,0.366650390625,-0.03706828328431584,1.9491771530359983,1730,0.0003,0.9781144261360168,-278.111102104187,0.6210018992424011
356640,11292.023926,1200.0,,,,,,,,,,,,,,,,
357120,,,1922,60,4504.11545469,1200.0,63,,,,,,,,,,,
357840,10813.958088,1200.0,,,,,,0.2,0.0,0.032606125,0.363671875,-0.03363137553969864,2.382222468778491,1740,0.0003,0.9773125052452087,-277.99119930267335,1.7491259574890137
359040,10828.752548,1200.0,,,,,,,,,,,,,,,,
359168,,,1956,61,4506.791903980001,1200.0,63,,,,,,,,,,,
360240,13136.19777,1200.0,,,,,,0.2,0.0,0.034432553,0.35595703125,-0.03467242989572696,2.076718944311142,1750,0.0003,0.9770501255989075,-277.91213712692263,1.1196500062942505
