eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps
27.0,214016,37.38018035888672,0.2,23963.80859375,0.0,-5.627159051597118,0.0003,50147.886938476564,0.034004897,-0.05422049060580321,1040,0.314306640625,,,,,
27.0,215040,40.39533233642578,,,,,,,,,,,,,,,
27.0,216064,42.189605712890625,0.2,21393.787109375,0.0,-5.617873249948024,0.0003,53386.1208984375,0.032878697,-0.05147378760157153,1050,0.321533203125,,,,,
27.0,217088,39.70750045776367,,,,,,,,,,,,,,,
27.0,218112,35.81724166870117,0.2,22312.955078125,0.0,-5.6070742681622505,0.0003,50366.25502929687,0.029331448,-0.05573634976753965,1060,0.2947265625,,,,,
27.0,219136,36.3277702331543,,,,,,,,,,,,,,,
27.0,220160,34.3990592956543,0.2,28140.548828125,-1.1920928955078125e-07,-5.592248775064945,0.0003,56401.25734863281,0.031972766,-0.05105122252716683,1070,0.306201171875,,,,,
27.0,221184,35.35797119140625,,,,,,,,,,,,,,,
27.0,222208,39.142250061035156,0.2,27973.578125,-1.1920928955078125e-07,-5.581394545733929,0.0003,55427.90404052734,0.031136198,-0.05670012779301033,1080,0.30908203125,,,,,
27.0,223232,38.99127960205078,,,,,,,,,,,,,,,
27.0,224256,42.21769714355469,0.2,24103.216796875,-1.1920928955078125e-07,-5.57529763430357,0.0003,49445.15462646484,0.03297062,-0.058808585914084686,1090,0.303125,,,,,
27.0,225280,40.727027893066406,,,,,,,,,,,,,,,
,225280,,,,,,,,,,,,727.7086832699999,808,110,27.0,278
27.0,226304,39.725006103515625,0.2,29208.826171875,0.0,-5.571446698904038,0.0003,53843.43840332031,0.03184328,-0.055591760796960446,1100,0.3091796875,,,,,
27.0,227328,36.546600341796875,,,,,,,,,,,,,,,
27.0,228352,39.61248779296875,0.2,29103.458984375,0.0,-5.5700939178466795,0.0003,55587.218298339845,0.02969986,-0.052585935866227375,1110,0.307275390625,,,,,
27.0,229376,44.779911041259766,,,,,,,,,,,,,,,
