eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/loss,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed
180.0,156672,66.03134155273438,0.2,0.0,-3.6686785612255335,0.0002,0.014792267,19.707639268785716,760,-0.014613675292639527,0.192236328125,14.49484634399414,,,,,
180.0,157696,67.17062377929688,,,,,,,,,,,,,,,
180.0,158720,71.5130615234375,0.2,5.960464477539063e-08,-3.675377092137933,0.0002,0.0151183065,23.841208241134883,770,-0.014285430001473287,0.178955078125,24.298717498779297,,,,,
180.0,159744,68.17085266113281,,,,,,,,,,,,,,,
180.0,160768,68.59982299804688,0.2,0.0,-3.656157438829541,0.0002,0.013570966,19.802213059365748,780,-0.012626949684636202,0.1705078125,6.762264728546143,,,,,
180.0,161792,62.731658935546875,,,,,,,,,,,,,,,
180.0,162816,67.76176452636719,0.2,0.0,-3.664384925737977,0.0002,0.014208834,22.243187122792005,790,-0.012562658406386618,0.15654296875,8.215250968933105,,,,,
180.0,163840,66.38917541503906,,,,,,,,,,,,,,,
,163840,,,,,,,,,,,,80,180.0,258,65.48317868999999,633
180.0,164864,68.58062744140625,0.2,0.0,-3.663976318389177,0.0002,0.014293623,19.12938406318426,800,-0.016383714630501346,0.1927734375,13.171399116516113,,,,,
180.0,165888,68.2421646118164,,,,,,,,,,,,,,,
180.0,166912,68.29448699951172,0.2,0.0,-3.659073557704687,0.0002,0.015636489,20.212630099058153,810,-0.01697429862106219,0.2083984375,12.19102668762207,,,,,
180.0,167936,69.11700439453125,,,,,,,,,,,,,,,
180.0,168960,70.79685974121094,0.2,0.0,-3.6255593284964562,0.0002,0.012862105,23.25508534088731,820,-0.013411594504577806,0.152734375,16.725597381591797,,,,,
180.0,169984,72.79963684082031,,,,,,,,,,,,,,,
180.0,171008,70.66534423828125,0.2,-1.1920928955078125e-07,-3.618280748650432,0.0002,0.015070772,21.78175954967737,830,-0.014699639691389165,0.18291015625,17.24247932434082,,,,,
180.0,172032,72.50762939453125,,,,,,,,,,,,,,,
180.0,173056,73.71395111083984,0.2,0.0,-3.600364212691784,0.0002,0.015440009,19.69973132237792,840,-0.017761937362956816,0.208056640625,9.18341064453125,,,,,
180.0,174080,75.20082092285156,,,,,,,,,,,,,,,
180.0,175104,73.48233032226562,0.2,-1.1920928955078125e-07,-3.569599698111415,0.0002,0.013194928,20.812423630058767,850,-0.011614452074718428,0.171435546875,7.843363285064697,,,,,
180.0,176128,73.36815643310547,,,,,,,,,,,,,,,
180.0,177152,72.96701049804688,0.2,0.0,-3.561517599597573,0.0002,0.015863381,21.447169880568982,860,-0.015287369039288023,0.195458984375,19.771011352539062,,,,,
180.0,178176,77.65213012695312,,,,,,,,,,,,,,,
180.0,179200,80.26468658447266,0.2,0.0,-3.5568800412118433,0.0002,0.01518935,19.16806352585554,870,-0.011675110594660509,0.17568359375,12.065975189208984,,,,,
180.0,180224,79.01443481445312,,,,,,,,,,,,,,,
180.0,181248,78.1622314453125,0.2,0.0,-3.5636652160435913,0.0002,0.0138967885,20.099146400392055,880,-0.009698493528412655,0.14521484375,9.175971984863281,,,,,
180.0,182272,78.59324645996094,,,,,,,,,,,,,,,
180.0,183296,76.41874694824219,0.2,0.0,-3.5648080859333278,0.0002,0.014964465,20.58364576846361,890,-0.013115489231677203,0.16103515625,10.830291748046875,,,,,
180.0,184320,75.966796875,,,,,,,,,,,,,,,
,184320,,,,,,,,,,,,90,180.0,259,74.66245527000001,709
180.0,185344,77.04327392578125,0.2,1.7881393432617188e-07,-3.555782889947295,0.0002,0.0131741855,21.168150983005763,900,-0.012357786670327187,0.163818359375,9.726362228393555,,,,,
180.0,186368,77.62285614013672,,,,,,,,,,,,,,,
180.0,187392,79.37718200683594,0.2,0.0,-3.5438259445130824,0.0002,0.013992835,21.75276200398803,910,-0.010559889214346186,0.163427734375,20.76290512084961,,,,,
180.0,188416,76.10445404052734,,,,,,,,,,,,,,,
180.0,189440,81.70535278320312,0.2,0.0,-3.548989335075021,0.0002,0.012876025,21.757433853298426,920,-0.012362607929571823,0.13876953125,9.181758880615234,,,,,
180.0,190464,78.43563842773438,,,,,,,,,,,,,,,
180.0,191488,75.27445983886719,0.2,0.0,-3.5456658743321894,0.0002,0.017096123,20.91021309271455,930,-0.016995543588564033,0.2072265625,15.019229888916016,,,,,
180.0,192512,78.75839233398438,,,,,,,,,,,,,,,
180.0,193536,79.36866760253906,0.2,0.0,-3.530297189950943,0.0002,0.016187135,20.106122754514217,940,-0.014439208581461572,0.1806640625,11.726511001586914,,,,,
180.0,194560,78.08245086669922,,,,,,,,,,,,,,,
180.0,195584,75.86322021484375,0.2,1.1920928955078125e-07,-3.5229560300707816,0.0002,0.016320404,18.473282083123923,950,-0.013065078081854153,0.1814453125,16.406631469726562,,,,,
180.0,196608,81.28302764892578,,,,,,,,,,,,,,,
