eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations
180.0,268288,84.96488952636719,,,,,,,,,,,,,,,
180.0,269312,86.20728302001953,0.468017578125,1310,0.021742322,0.2,0.0003,52.076595014333726,-3.115125943720341,-0.03886491624871269,-1.1920928955078125e-07,30.2963924407959,,,,,
180.0,270336,85.76779174804688,,,,,,,,,,,,,,,
180.0,271360,86.70901489257812,0.619580078125,1320,0.032149114,0.2,0.0003,54.42376843094826,-3.0550720170140266,-0.04154101250169333,0.0,18.91288948059082,,,,,
180.0,272384,87.0538330078125,,,,,,,,,,,,,,,
180.0,273408,86.82817077636719,0.3779296875,1330,0.017296053,0.2,0.0003,46.94588288664818,-3.1301558934152127,-0.04287789488444105,5.960464477539063e-08,18.665756225585938,,,,,
180.0,274432,85.33332824707031,,,,,,,,,,,,,,,
180.0,275456,84.45054626464844,0.41181640625,1340,0.018425047,0.2,0.0003,45.69662390351296,-3.1269329763948917,-0.036964300565887245,0.0,21.788530349731445,,,,,
180.0,276480,86.544921875,,,,,,,,,,,,,,,
180.0,277504,86.89381408691406,0.513427734375,1350,0.024766706,0.2,0.0003,50.217622977495196,-3.0937412537634374,-0.03908992798096733,0.0,16.6039981842041,,,,,
180.0,278528,88.2259521484375,,,,,,,,,,,,,,,
180.0,279552,84.03469848632812,0.583251953125,1360,0.024886426,0.2,0.0003,51.38602553606033,-3.0673942513763905,-0.043633160390891136,0.0,39.95039367675781,,,,,
180.0,280576,82.700439453125,,,,,,,,,,,,,,,
180.0,281600,86.73617553710938,0.5435546875,1370,0.03118121,0.2,0.0003,46.647603017091754,-3.057723821699619,-0.03972658685524948,1.7881393432617188e-07,22.60127067565918,,,,,
180.0,282624,85.09620666503906,,,,,,,,,,,,,,,
180.0,283648,87.22702026367188,0.499755859375,1380,0.0202747,0.2,0.0003,53.00412901639938,-3.0735080413520337,-0.04200927150377538,0.0,22.627412796020508,,,,,
180.0,284672,84.82390594482422,,,,,,,,,,,,,,,
180.0,285696,84.80615997314453,0.43994140625,1390,0.01813085,0.2,0.0003,50.17793671786785,-3.093639563024044,-0.03708028462860966,0.0,25.00477409362793,,,,,
180.0,286720,87.34559631347656,,,,,,,,,,,,,,,
,286720,,,,,,,,,,,,1097,86.47099059,261,180.0,140
180.0,287744,87.26554870605469,0.449951171875,1400,0.023797866,0.2,0.0003,43.598513865470885,-3.0990137234330177,-0.03682071518269368,5.960464477539063e-08,29.86712646484375,,,,,
180.0,288768,85.83006286621094,,,,,,,,,,,,,,,
180.0,289792,85.7919692993164,0.582470703125,1410,0.030853182,0.2,0.0003,57.85228598713875,-3.044525244086981,-0.04070523471746128,0.0,33.346702575683594,,,,,
180.0,290816,85.74691772460938,,,,,,,,,,,,,,,
180.0,291840,84.25028228759766,0.5744140625,1420,0.02260243,0.2,0.0003,49.7823615193367,-3.0573842979967596,-0.03963452314492315,0.0,37.86245346069336,,,,,
180.0,292864,84.61783599853516,,,,,,,,,,,,,,,
180.0,293888,84.77393341064453,0.546484375,1430,0.022939498,0.2,0.0003,52.77947344779968,-3.0594000101089476,-0.037808108745957726,-1.1920928955078125e-07,16.975929260253906,,,,,
180.0,294912,84.12347412109375,,,,,,,,,,,,,,,
180.0,295936,86.40838623046875,0.4171875,1440,0.019927002,0.2,0.0003,53.58678552508354,-3.093345037847757,-0.041171758694690655,0.0,24.68132781982422,,,,,
180.0,296960,87.88386535644531,,,,,,,,,,,,,,,
180.0,297984,85.52922058105469,0.346484375,1450,0.017868552,0.2,0.0003,47.335135114192965,-3.122242062538862,-0.03918729616852943,5.960464477539063e-08,26.6628360748291,,,,,
180.0,299008,86.84829711914062,,,,,,,,,,,,,,,
180.0,300032,87.47125244140625,0.446826171875,1460,0.018796828,0.2,0.0003,47.337337869405744,-3.1144178502261637,-0.04098226803325815,0.0,18.750507354736328,,,,,
180.0,301056,85.84806060791016,,,,,,,,,,,,,,,
180.0,302080,87.9504623413086,0.5462890625,1470,0.022721715,0.2,0.0003,56.389131277799606,-3.0851441599428653,-0.03880816367454827,1.1920928955078125e-07,27.272327423095703,,,,,
180.0,303104,86.509521484375,,,,,,,,,,,,,,,
180.0,304128,86.1157455444336,0.425341796875,1480,0.019268265,0.2,0.0003,57.648221963644026,-3.122962325811386,-0.03558474578603636,0.0,20.272294998168945,,,,,
180.0,305152,86.14732360839844,,,,,,,,,,,,,,,
