eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/value_loss,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,train/loss,train/clip_fraction,train/policy_gradient_loss,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed
27.0,267264,55.854915618896484,15.981327831745148,1300,-1.1920928955078125e-07,0.0003,-3.3646152704954146,0.0610293,0.2,8.019011497497559,0.4248046875,-0.03234000725205988,,,,,
27.0,268288,58.695709228515625,,,,,,,,,,,,,,,
27.0,269312,57.45256805419922,15.845581835508346,1310,-1.1920928955078125e-07,0.0003,-3.35682303160429,0.06670357,0.2,11.49803638458252,0.452734375,-0.03142430435109418,,,,,
27.0,270336,56.134056091308594,,,,,,,,,,,,,,,
27.0,271360,56.785400390625,18.157102239131927,1320,0.0,0.0003,-3.3582289800047875,0.06182988,0.2,8.293854713439941,0.428857421875,-0.030781827089958823,,,,,
27.0,272384,55.917236328125,,,,,,,,,,,,,,,
27.0,273408,56.42082595825195,17.148828476667404,1330,0.0,0.0003,-3.35308336392045,0.064058855,0.2,7.990047931671143,0.4134765625,-0.02089136689028237,,,,,
27.0,274432,55.74242401123047,,,,,,,,,,,,,,,
27.0,275456,54.497886657714844,16.545092087984084,1340,1.1920928955078125e-07,0.0003,-3.350021047145128,0.052497465,0.2,7.854430198669434,0.40322265625,-0.02309964096348267,,,,,
27.0,276480,56.06035614013672,,,,,,,,,,,,,,,
27.0,277504,56.375057220458984,17.003045558929443,1350,0.0,0.0003,-3.353315180540085,0.056490254,0.2,10.333758354187012,0.444775390625,-0.028923205700994003,,,,,
27.0,278528,59.72838592529297,,,,,,,,,,,,,,,
27.0,279552,54.840171813964844,15.557561573386192,1360,0.0,0.0003,-3.3498939596116544,0.07087073,0.2,7.375863552093506,0.43837890625,-0.034360931492119565,,,,,
27.0,280576,52.07251739501953,,,,,,,,,,,,,,,
27.0,281600,53.91576385498047,15.266775259375573,1370,5.960464477539063e-08,0.0003,-3.3518580719828606,0.06596992,0.2,9.988740921020508,0.45693359375,-0.026161346580192913,,,,,
27.0,282624,56.525150299072266,,,,,,,,,,,,,,,
27.0,283648,58.10928726196289,15.974939662218095,1380,5.960464477539063e-08,0.0003,-3.3594320721924307,0.07254852,0.2,9.436935424804688,0.47744140625,-0.0335693847067887,,,,,
27.0,284672,54.031494140625,,,,,,,,,,,,,,,
27.0,285696,56.02958679199219,16.989665552973747,1390,0.0,0.0003,-3.3551825635135173,0.06764106,0.2,9.343059539794922,0.40517578125,-0.02299949995285715,,,,,
27.0,286720,53.349327087402344,,,,,,,,,,,,,,,
,286720,,,,,,,,,,,,140,254,27.0,59.64548573,1125
27.0,287744,53.89257049560547,17.455163583159447,1400,0.0,0.0003,-3.3598791159689427,0.06844072,0.2,10.488423347473145,0.444482421875,-0.037865698419045656,,,,,
27.0,288768,53.18384552001953,,,,,,,,,,,,,,,
27.0,289792,54.253089904785156,16.218925005197526,1410,0.0,0.0003,-3.3653628796339037,0.05316408,0.2,11.092998504638672,0.402001953125,-0.023037457013560924,,,,,
27.0,290816,54.201751708984375,,,,,,,,,,,,,,,
27.0,291840,55.78278732299805,15.501188385486603,1420,5.960464477539063e-08,0.0003,-3.368917702883482,0.05879736,0.2,9.585326194763184,0.411865234375,-0.025977019776473754,,,,,
27.0,292864,55.9665412902832,,,,,,,,,,,,,,,
27.0,293888,54.86332702636719,15.529418256878852,1430,-1.1920928955078125e-07,0.0003,-3.376041333377361,0.056758367,0.2,6.231000900268555,0.399609375,-0.02122033785417443,,,,,
27.0,294912,55.134246826171875,,,,,,,,,,,,,,,
27.0,295936,55.33323669433594,17.492906817793845,1440,0.0,0.0003,-3.367857800424099,0.0669305,0.2,7.248009204864502,0.433935546875,-0.03948415202030446,,,,,
27.0,296960,56.17387390136719,,,,,,,,,,,,,,,
27.0,297984,55.79088592529297,16.46307764053345,1450,0.0,0.0003,-3.3666210077703,0.06425849,0.2,8.425787925720215,0.4150390625,-0.018825867751729675,,,,,
27.0,299008,57.60163116455078,,,,,,,,,,,,,,,
27.0,300032,57.65895462036133,17.493753537535667,1460,0.0,0.0003,-3.371884184330702,0.07064016,0.2,8.752692222595215,0.45546875,-0.031516892689978704,,,,,
27.0,301056,56.91611099243164,,,,,,,,,,,,,,,
27.0,302080,57.62120819091797,15.567072939872741,1470,0.0,0.0003,-3.374892683327198,0.060987495,0.2,7.303829193115234,0.422900390625,-0.029052550524647815,,,,,
27.0,303104,56.77316665649414,,,,,,,,,,,,,,,
27.0,304128,55.41495132446289,15.59944756925106,1480,5.960464477539063e-08,0.0003,-3.3711942203342913,0.061832294,0.2,7.728782653808594,0.439306640625,-0.03348528626083862,,,,,
27.0,305152,55.98754119873047,,,,,,,,,,,,,,,
27.0,306176,57.85296630859375,15.902343505620957,1490,0.0,0.0003,-3.373195376992226,0.059530016,0.2,8.586277961730957,0.40595703125,-0.019730259486823342,,,,,
27.0,307200,56.60877990722656,,,,,,,,,,,,,,,
,307200,,,,,,,,,,,,150,254,27.0,60.00558923999999,1205
27.0,308224,55.73567199707031,16.511814269423486,1500,1.1920928955078125e-07,0.0003,-3.3582856550812723,0.07419054,0.2,8.167829513549805,0.46103515625,-0.03624047835764941,,,,,
27.0,309248,54.054771423339844,,,,,,,,,,,,,,,
