time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
187392,39.99840545654297,21.0,0.0003,14.329796189069748,0.2,-2.9920438177883626,0.049895957,-0.03306705014547333,910,0.362451171875,7.09959077835083,0.0,,,,,
188416,37.80419921875,21.0,,,,,,,,,,,,,,,
189440,40.223114013671875,21.0,0.0003,15.843083545565605,0.2,-2.9815388038754462,0.06586841,-0.022644200555805582,920,0.41435546875,10.207575798034668,0.0,,,,,
190464,42.15563201904297,21.0,,,,,,,,,,,,,,,
191488,39.82897186279297,21.0,0.0003,12.901176483929158,0.2,-2.9902108773589133,0.048731577,-0.030524022423196583,930,0.395458984375,7.082560062408447,0.0,,,,,
192512,44.010860443115234,21.0,,,,,,,,,,,,,,,
193536,42.2780647277832,21.0,0.0003,15.672184884548187,0.2,-2.983231718093157,0.06081579,-0.02926343277504202,940,0.412841796875,7.242758274078369,0.0,,,,,
194560,38.8651123046875,21.0,,,,,,,,,,,,,,,
195584,40.525455474853516,21.0,0.0003,14.397696775197982,0.2,-2.9787090480327607,0.052486353,-0.01329463771544397,950,0.371044921875,8.10583782196045,0.0,,,,,
196608,44.517669677734375,21.0,,,,,,,,,,,,,,,
197632,40.978790283203125,21.0,0.0003,16.44869617819786,0.2,-2.9754870414733885,0.06846914,-0.01717212222283706,960,0.426318359375,8.417734146118164,0.0,,,,,
198656,41.465240478515625,21.0,,,,,,,,,,,,,,,
199680,41.10911560058594,21.0,0.0003,14.832684510946274,0.2,-2.965805574506521,0.055873528,-0.016396983979211653,970,0.369873046875,7.67954683303833,0.0,,,,,
200704,41.838043212890625,21.0,,,,,,,,,,,,,,,
201728,42.77925109863281,21.0,0.0003,15.929744178056717,0.2,-2.975657381117344,0.06019632,-0.020458274311386047,980,0.4025390625,7.410642147064209,0.0,,,,,
202752,38.970947265625,21.0,,,,,,,,,,,,,,,
203776,40.843963623046875,21.0,0.0003,14.59134019613266,0.2,-2.9760218143463133,0.06413104,-0.02431258131400682,990,0.40595703125,5.609220027923584,0.0,,,,,
204800,42.08356857299805,21.0,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,43.49434428000001,21.0,100,285,718
205824,41.73456573486328,21.0,0.0003,15.945144259929657,0.2,-2.9709074474871158,0.059171624,-0.01399451463657897,1000,0.418896484375,8.851459503173828,5.960464477539063e-08,,,,,
206848,42.85038757324219,21.0,,,,,,,,,,,,,,,
207872,41.22603988647461,21.0,0.0003,16.334474354982376,0.2,-2.9757684618234634,0.07416281,-0.022348552217590623,1010,0.421630859375,6.712573051452637,0.0,,,,,
208896,39.676387786865234,21.0,,,,,,,,,,,,,,,
209920,42.043575286865234,21.0,0.0003,18.3408315628767,0.2,-2.978671237081289,0.07246935,-0.02711076861305628,1020,0.45732421875,9.394327163696289,1.1920928955078125e-07,,,,,
210944,40.2769775390625,21.0,,,,,,,,,,,,,,,
211968,43.98911666870117,21.0,0.0003,14.931759271025658,0.2,-2.97640281021595,0.05416967,-0.027451731111796107,1030,0.42392578125,10.006916999816895,5.960464477539063e-08,,,,,
212992,42.08472442626953,21.0,,,,,,,,,,,,,,,
214016,44.230072021484375,21.0,0.0003,13.964099827408791,0.2,-2.96963097602129,0.06339271,-0.025596394427702764,1040,0.385693359375,5.792850494384766,0.0,,,,,
215040,36.37645721435547,21.0,,,,,,,,,,,,,,,
216064,44.76306915283203,21.0,0.0003,14.058085936307908,0.2,-2.973426577448845,0.06097023,-0.0197293498495128,1050,0.3890625,7.424704074859619,-1.1920928955078125e-07,,,,,
217088,42.75818634033203,21.0,,,,,,,,,,,,,,,
218112,42.87950134277344,21.0,0.0003,14.871775177121162,0.2,-2.976790500432253,0.06446972,-0.02914439337910153,1060,0.431640625,10.147040367126465,0.0,,,,,
219136,44.22039031982422,21.0,,,,,,,,,,,,,,,
220160,41.87257385253906,21.0,0.0003,14.836798575520515,0.2,-2.974553734064102,0.067440525,-0.028808371641207486,1070,0.412109375,7.365607261657715,0.0,,,,,
221184,37.82695770263672,21.0,,,,,,,,,,,,,,,
222208,42.02250671386719,21.0,0.0003,14.234894374012947,0.2,-2.9718694880604746,0.061947506,-0.028214761349954643,1080,0.408447265625,7.672181606292725,0.0,,,,,
223232,39.56393051147461,21.0,,,,,,,,,,,,,,,
224256,39.088294982910156,21.0,0.0003,15.150230273604393,0.2,-2.9571287482976913,0.087246485,-0.01960385599231813,1090,0.45205078125,6.128211975097656,-1.1920928955078125e-07,,,,,
225280,42.80208206176758,21.0,,,,,,,,,,,,,,,
225280,,,,,,,,,,,,,45.13743418000001,21.0,110,313,718
226304,41.90222930908203,21.0,0.0003,15.75542310476303,0.2,-2.9548290677368643,0.08831197,-0.013515359703887952,1100,0.44443359375,7.3052287101745605,0.0,,,,,
227328,38.865684509277344,21.0,,,,,,,,,,,,,,,
228352,40.523193359375,21.0,0.0003,13.640507307648658,0.2,-2.954599690437317,0.078940876,-0.027348776487633585,1110,0.431689453125,6.395336151123047,0.0,,,,,
229376,40.11312484741211,21.0,,,,,,,,,,,,,,,
230400,42.24335479736328,21.0,0.0003,14.66618291437626,0.2,-2.957861465960741,0.07940712,-0.031688236913760194,1120,0.44404296875,8.06727123260498,0.0,,,,,
231424,42.79743194580078,21.0,,,,,,,,,,,,,,,
232448,37.180419921875,21.0,0.0003,14.474090123176575,0.2,-2.9669563390314577,0.057567094,-0.025226124672917648,1130,0.39619140625,7.263588905334473,-1.1920928955078125e-07,,,,,
233472,38.06627655029297,21.0,,,,,,,,,,,,,,,
234496,39.29917526245117,21.0,0.0003,14.218679215013982,0.2,-2.973543635755777,0.069229886,-0.021286523796152323,1140,0.424609375,9.005555152893066,5.960464477539063e-08,,,,,
235520,43.677825927734375,21.0,,,,,,,,,,,,,,,
236544,40.38842010498047,21.0,0.0003,14.9733397513628,0.2,-2.9718322224915026,0.07006897,-0.02504623896384146,1150,0.40986328125,8.126734733581543,0.0,,,,,
237568,41.67307662963867,21.0,,,,,,,,,,,,,,,
238592,43.48828125,21.0,0.0003,15.471287843585014,0.2,-2.977035913616419,0.05969266,-0.018870679233805275,1160,0.40009765625,9.091726303100586,-1.1920928955078125e-07,,,,,
239616,40.35236358642578,21.0,,,,,,,,,,,,,,,
240640,41.95997619628906,21.0,0.0003,14.555120107531547,0.2,-2.977454613149166,0.057004064,-0.01888350498775253,1170,0.38681640625,6.202729225158691,0.0,,,,,
241664,40.028236389160156,21.0,,,,,,,,,,,,,,,
242688,41.746604919433594,21.0,0.0003,14.006112569570542,0.2,-2.9715411283075808,0.06350884,-0.02268301643343875,1180,0.42490234375,8.173773765563965,0.0,,,,,
243712,41.29608154296875,21.0,,,,,,,,,,,,,,,
244736,38.70892333984375,21.0,0.0003,15.325284194946288,0.2,-2.9700078532099723,0.061520204,-0.024514526869461407,1190,0.4236328125,10.106926918029785,0.0,,,,,
245760,37.92900085449219,21.0,,,,,,,,,,,,,,,
245760,,,,,,,,,,,,,44.929584889999994,21.0,120,342,718
246784,42.238502502441406,21.0,0.0003,14.604970318078994,0.2,-2.979076597839594,0.06461392,-0.026945200382033362,1200,0.4095703125,5.8885626792907715,0.0,,,,,
247808,42.993106842041016,21.0,,,,,,,,,,,,,,,
248832,43.083526611328125,21.0,0.0003,16.469713324308394,0.2,-2.9791559144854545,0.07514187,-0.02098658560280455,1210,0.45556640625,6.430187702178955,0.0,,,,,
249856,39.65385055541992,21.0,,,,,,,,,,,,,,,
250880,45.34888458251953,21.0,0.0003,14.74941756427288,0.2,-2.9712663911283017,0.06933594,-0.016695597826037557,1220,0.445166015625,7.668180465698242,0.0,,,,,
251904,41.45018768310547,21.0,,,,,,,,,,,,,,,
252928,42.72582244873047,21.0,0.0003,14.677569475769996,0.2,-2.9693668991327287,0.078779936,-0.021504866096074694,1230,0.42734375,9.937042236328125,-1.1920928955078125e-07,,,,,
253952,40.765342712402344,21.0,,,,,,,,,,,,,,,
