eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean
27.0,47.406620025634766,191488,0.0003,9.71609115600586,930,0.0,0.2,-0.011716316911042668,23.37360372245312,0.07371527,-3.4759503290057183,0.447607421875,,,,,
27.0,50.69171142578125,192512,,,,,,,,,,,,,,,
27.0,51.11225128173828,193536,0.0003,11.712981224060059,940,0.0,0.2,-0.013597101143386681,27.216925412416458,0.0662273,-3.468994137644768,0.438232421875,,,,,
27.0,43.17616271972656,194560,,,,,,,,,,,,,,,
27.0,49.15180206298828,195584,0.0003,5.961344242095947,950,0.0,0.2,0.0025744496277184227,16.87374912798405,0.07395265,-3.4738544963300226,0.446435546875,,,,,
27.0,52.16279602050781,196608,,,,,,,,,,,,,,,
27.0,45.53417205810547,197632,0.0003,8.84881591796875,960,-1.1920928955078125e-07,0.2,-0.01789127004740294,19.320728352665903,0.08676711,-3.458591116964817,0.461328125,,,,,
27.0,44.43863296508789,198656,,,,,,,,,,,,,,,
27.0,40.87657928466797,199680,0.0003,14.464685440063477,970,0.0,0.2,-0.03660900716640754,22.185566461086275,0.08835832,-3.449168135225773,0.47265625,,,,,
27.0,45.047401428222656,200704,,,,,,,,,,,,,,,
27.0,45.24903869628906,201728,0.0003,14.206930160522461,980,0.0,0.2,-0.026904569793259725,28.925950115919115,0.10744383,-3.4450958125293254,0.495263671875,,,,,
27.0,48.804664611816406,202752,,,,,,,,,,,,,,,
27.0,31.042415618896484,203776,0.0003,14.262201309204102,990,0.0,0.2,-0.008934118056640728,26.86265988945961,0.11083692,-3.4339378133416174,0.5203125,,,,,
27.0,36.149070739746094,204800,,,,,,,,,,,,,,,
,,204800,,,,,,,,,,,42.60985336999999,543,377,100,27.0
27.0,29.71142578125,205824,0.0003,16.705896377563477,1000,0.0,0.2,-0.007425127697933931,26.496993434429168,0.09908774,-3.4376933202147484,0.500048828125,,,,,
27.0,56.04256820678711,206848,,,,,,,,,,,,,,,
27.0,44.821807861328125,207872,0.0003,12.565657615661621,1010,5.960464477539063e-08,0.2,-0.02803664343227865,22.495034709572792,0.10283068,-3.4189360909163953,0.475390625,,,,,
27.0,48.48637008666992,208896,,,,,,,,,,,,,,,
27.0,48.67913818359375,209920,0.0003,10.864083290100098,1020,-1.1920928955078125e-07,0.2,-0.00935716206295183,23.211028143763542,0.109402075,-3.411846697330475,0.519189453125,,,,,
27.0,41.009132385253906,210944,,,,,,,,,,,,,,,
27.0,34.48200607299805,211968,0.0003,10.310523986816406,1030,-1.1920928955078125e-07,0.2,-0.007985730566724669,29.426719933748245,0.12485104,-3.399622740596533,0.5203125,,,,,
27.0,49.9387092590332,212992,,,,,,,,,,,,,,,
27.0,48.905662536621094,214016,0.0003,14.238525390625,1040,-1.1920928955078125e-07,0.2,-0.015268805267987772,24.930500549077987,0.11206916,-3.3985534466803076,0.517041015625,,,,,
27.0,43.049903869628906,215040,,,,,,,,,,,,,,,
27.0,32.16602325439453,216064,0.0003,12.06322956085205,1050,0.0,0.2,-0.03236023589561228,23.233858200907708,0.10344589,-3.4056860737502577,0.49033203125,,,,,
27.0,50.200286865234375,217088,,,,,,,,,,,,,,,
27.0,54.10777282714844,218112,0.0003,13.760480880737305,1060,0.0,0.2,-0.02456702540803235,24.30093557536602,0.09607921,-3.3957891441881656,0.479443359375,,,,,
27.0,38.06500244140625,219136,,,,,,,,,,,,,,,
27.0,39.85968780517578,220160,0.0003,8.694150924682617,1070,0.0,0.2,-0.004381898857536726,21.013458651304244,0.09160433,-3.376985005289316,0.490380859375,,,,,
27.0,38.22344207763672,221184,,,,,,,,,,,,,,,
27.0,40.511940002441406,222208,0.0003,16.145896911621094,1080,-1.1920928955078125e-07,0.2,-0.02165918295213487,31.29224897623062,0.09964238,-3.3768682323396204,0.4583984375,,,,,
27.0,44.43499755859375,223232,,,,,,,,,,,,,,,
27.0,42.233848571777344,224256,0.0003,10.259358406066895,1090,0.0,0.2,-0.02077342005504761,27.24164669215679,0.11618574,-3.381210736185312,0.53125,,,,,
27.0,46.4924201965332,225280,,,,,,,,,,,,,,,
,,225280,,,,,,,,,,,50.40228412,542,415,110,27.0
27.0,36.03251647949219,226304,0.0003,13.030935287475586,1100,0.0,0.2,-0.027244186677853575,24.776748022437097,0.11202496,-3.3705627009272576,0.50595703125,,,,,
27.0,46.899810791015625,227328,,,,,,,,,,,,,,,
27.0,46.893672943115234,228352,0.0003,12.613591194152832,1110,5.960464477539063e-08,0.2,-0.006816531946242321,21.961545115709306,0.12486958,-3.3778017103672027,0.55126953125,,,,,
