time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean
152576,74.13664245605469,180.0,0.166259765625,-3.5817557625472545,-0.014541605385602452,6.54123067855835,0.0,22.408116617798804,0.014937978,0.2,0.0003,740,,,,,
153600,73.62115478515625,180.0,,,,,,,,,,,,,,,
154624,71.79601287841797,180.0,0.163671875,-3.585603631287813,-0.012043134834675584,8.008642196655273,0.0,21.118336832523347,0.015745208,0.2,0.0003,750,,,,,
155648,70.79309844970703,180.0,,,,,,,,,,,,,,,
156672,68.87911987304688,180.0,0.148876953125,-3.592067589610815,-0.012378409691154956,9.570892333984375,5.960464477539063e-08,21.649273067712784,0.014475457,0.2,0.0003,760,,,,,
157696,72.36091613769531,180.0,,,,,,,,,,,,,,,
158720,78.68254089355469,180.0,0.170849609375,-3.5991776257753374,-0.013029066968010738,14.846314430236816,0.0,20.930547472834586,0.016436078,0.2,0.0003,770,,,,,
159744,73.86007690429688,180.0,,,,,,,,,,,,,,,
160768,72.02052307128906,180.0,0.195849609375,-3.6055034935474395,-0.016499715052486864,8.648324966430664,0.0,20.08781242072582,0.015235457,0.2,0.0003,780,,,,,
161792,71.95539093017578,180.0,,,,,,,,,,,,,,,
162816,74.71812438964844,180.0,0.18115234375,-3.5958533212542534,-0.01405692752741743,10.202583312988281,0.0,22.19280144572258,0.017415892,0.2,0.0003,790,,,,,
163840,72.97064971923828,180.0,,,,,,,,,,,,,,,
163840,,,,,,,,,,,,,313,80,180.0,522,72.03293444
164864,74.71855163574219,180.0,0.168505859375,-3.589666797220707,-0.010990688730817055,8.183258056640625,0.0,21.711688420176507,0.012854781,0.2,0.0003,800,,,,,
165888,77.37051391601562,180.0,,,,,,,,,,,,,,,
166912,75.00312805175781,180.0,0.164208984375,-3.5858137674629686,-0.011490530903392937,10.78760051727295,-1.1920928955078125e-07,19.708373001217844,0.01581991,0.2,0.0003,810,,,,,
167936,76.42939758300781,180.0,,,,,,,,,,,,,,,
168960,78.5981674194336,180.0,0.177294921875,-3.570134861022234,-0.013482695174752734,5.222877025604248,1.1920928955078125e-07,19.028069713711737,0.015138858,0.2,0.0003,820,,,,,
169984,76.69682312011719,180.0,,,,,,,,,,,,,,,
171008,77.01258850097656,180.0,0.202197265625,-3.5742894493043424,-0.015478067475487477,10.749551773071289,0.0,22.746897698938845,0.016159805,0.2,0.0003,830,,,,,
172032,74.94392395019531,180.0,,,,,,,,,,,,,,,
173056,77.34944152832031,180.0,0.18408203125,-3.571790637820959,-0.014711474717478268,10.317813873291016,-1.1920928955078125e-07,21.96553583443165,0.01607491,0.2,0.0003,840,,,,,
174080,78.36508178710938,180.0,,,,,,,,,,,,,,,
175104,77.85162353515625,180.0,0.17587890625,-3.5563979990780354,-0.014775892357283738,9.228240013122559,0.0,22.64594239294529,0.015789852,0.2,0.0003,850,,,,,
176128,81.87841796875,180.0,,,,,,,,,,,,,,,
177152,80.2719497680664,180.0,0.145947265625,-3.5452634781599044,-0.011156279829447158,11.6569242477417,0.0,18.92560199648142,0.013440648,0.2,0.0003,860,,,,,
178176,83.37200927734375,180.0,,,,,,,,,,,,,,,
179200,79.97430419921875,180.0,0.180517578125,-3.521808824688196,-0.015205747380969114,11.753737449645996,0.0,20.353200656175613,0.014882609,0.2,0.0003,870,,,,,
180224,77.64912414550781,180.0,,,,,,,,,,,,,,,
181248,79.20149230957031,180.0,0.157373046875,-3.4909602619707583,-0.012648870259727118,11.50816535949707,0.0,21.522190308570863,0.014399741,0.2,0.0003,880,,,,,
182272,82.39385986328125,180.0,,,,,,,,,,,,,,,
183296,82.36154174804688,180.0,0.185009765625,-3.499530567228794,-0.01439017590309959,8.302508354187012,0.0,20.266171875596047,0.01631087,0.2,0.0003,890,,,,,
184320,85.86259460449219,180.0,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,313,90,180.0,587,77.79988228
185344,80.85359954833984,180.0,0.190625,-3.499883373826742,-0.013871734759595711,8.456164360046387,0.0,20.809886634349823,0.015323588,0.2,0.0003,900,,,,,
186368,81.34686279296875,180.0,,,,,,,,,,,,,,,
187392,81.17338562011719,180.0,0.173193359375,-3.497733996063471,-0.01255724379007006,14.37370777130127,-1.1920928955078125e-07,20.15736412256956,0.012319665,0.2,0.0003,910,,,,,
