eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/learning_rate,train/explained_variance,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps
21.0,373760,39.61749267578125,0.0003,-1.1920928955078125e-07,11347.5087890625,0.243603515625,23242.671118164064,0.023281138,-0.023589190715574658,1820,0.2,-3.2324211813509462,,,,,
21.0,374784,39.7110481262207,,,,,,,,,,,,,,,
21.0,375808,38.70478057861328,0.0003,-1.1920928955078125e-07,11055.8212890625,0.242333984375,21776.65739746094,0.02380695,-0.021010452501650435,1830,0.2,-3.2332811310887335,,,,,
21.0,376832,40.086822509765625,,,,,,,,,,,,,,,
21.0,377856,42.34980773925781,0.0003,0.0,10322.9423828125,0.23251953125,22933.84992980957,0.024791691,-0.020801642173319125,1840,0.2,-3.2282496370375156,,,,,
21.0,378880,37.285438537597656,,,,,,,,,,,,,,,
21.0,379904,37.49597930908203,0.0003,-1.1920928955078125e-07,10399.2373046875,0.309521484375,22947.730572509765,0.03208206,-0.016550561688200106,1850,0.2,-3.230684808641672,,,,,
21.0,380928,39.79890441894531,,,,,,,,,,,,,,,
21.0,381952,39.371177673339844,0.0003,0.0,11367.388671875,0.268701171875,22699.133026123047,0.028975086,-0.024368358356878162,1860,0.2,-3.2230261355638503,,,,,
21.0,382976,38.91041564941406,,,,,,,,,,,,,,,
21.0,384000,38.39207077026367,0.0003,0.0,9592.353515625,0.274951171875,21814.69515991211,0.03158266,-0.021874039158865342,1870,0.2,-3.2203498512506483,,,,,
21.0,385024,39.79996109008789,,,,,,,,,,,,,,,
21.0,386048,41.78639221191406,0.0003,0.0,9977.9072265625,0.220166015625,21060.420816040038,0.021923283,-0.020441836588724983,1880,0.2,-3.2172796711325646,,,,,
21.0,387072,37.35434341430664,,,,,,,,,,,,,,,
21.0,388096,38.784332275390625,0.0003,0.0,10435.953125,0.26572265625,22345.3673828125,0.030563805,-0.025393570595042547,1890,0.2,-3.2092435240745543,,,,,
21.0,389120,38.66990661621094,,,,,,,,,,,,,,,
,389120,,,,,,,,,,,,534.278178,190,449,21.0,865
21.0,390144,43.100341796875,0.0003,0.0,11793.0302734375,0.253515625,22254.726263427736,0.030682422,-0.016866509495594074,1900,0.2,-3.211016506701708,,,,,
21.0,391168,41.18428039550781,,,,,,,,,,,,,,,
21.0,392192,41.42655563354492,0.0003,-1.1920928955078125e-07,9649.3701171875,0.28349609375,21413.160559082033,0.028398428,-0.024633823170734103,1910,0.2,-3.2141765624284746,,,,,
21.0,393216,38.64238357543945,,,,,,,,,,,,,,,
21.0,394240,38.75911331176758,0.0003,0.0,10740.7646484375,0.2595703125,22082.85502319336,0.027198333,-0.025517011582269333,1920,0.2,-3.2032950438559054,,,,,
21.0,395264,37.824005126953125,,,,,,,,,,,,,,,
21.0,396288,40.459228515625,0.0003,0.0,7950.888671875,0.22431640625,20007.44779663086,0.02554956,-0.028435448848176746,1930,0.2,-3.19984327852726,,,,,
21.0,397312,38.19395446777344,,,,,,,,,,,,,,,
21.0,398336,40.812294006347656,0.0003,1.1920928955078125e-07,9481.9794921875,0.283447265625,20503.70354309082,0.030349212,-0.02931646664510481,1940,0.2,-3.1927557937800883,,,,,
21.0,399360,40.70502471923828,,,,,,,,,,,,,,,
21.0,400384,41.81599426269531,0.0003,0.0,9831.6953125,0.244091796875,20483.729055786134,0.026060982,-0.01942263805103721,1950,0.2,-3.1968719482421877,,,,,
21.0,401408,39.87896728515625,,,,,,,,,,,,,,,
21.0,402432,41.79860305786133,0.0003,0.0,8858.61328125,0.2529296875,21169.621496582033,0.028630814,-0.018090863068937323,1960,0.2,-3.1984474547207355,,,,,
21.0,403456,37.45524597167969,,,,,,,,,,,,,,,
21.0,404480,38.24087905883789,0.0003,0.0,9964.6025390625,0.294091796875,20965.566827392577,0.0338331,-0.013317215793358627,1970,0.2,-3.186280543357134,,,,,
21.0,405504,36.53626251220703,,,,,,,,,,,,,,,
21.0,406528,39.246604919433594,0.0003,0.0,10812.5263671875,0.2951171875,20333.105279541014,0.031817507,-0.019279426807770506,1980,0.2,-3.1968873620033262,,,,,
21.0,407552,39.05821228027344,,,,,,,,,,,,,,,
21.0,408576,40.09779739379883,0.0003,0.0,9983.751953125,0.297119140625,22892.384887695312,0.035543736,-0.010515154666791204,1990,0.2,-3.2034987077116965,,,,,
21.0,409600,42.24470138549805,,,,,,,,,,,,,,,
,409600,,,,,,,,,,,,533.78917535,200,472,21.0,866
21.0,410624,40.29899215698242,0.0003,0.0,9481.72265625,0.262353515625,20538.983029174804,0.027682945,-0.018574574100784957,2000,0.2,-3.19982847571373,,,,,
21.0,411648,38.95530319213867,,,,,,,,,,,,,,,
21.0,412672,36.91930389404297,0.0003,5.960464477539063e-08,10200.3359375,0.283984375,21895.538012695313,0.03266171,-0.015131538384594023,2010,0.2,-3.1919479556381702,,,,,
21.0,413696,41.59697341918945,,,,,,,,,,,,,,,
21.0,414720,36.8577880859375,0.0003,0.0,8703.037109375,0.240478515625,20325.557598876952,0.0265144,-0.017933486754191107,2020,0.2,-3.200385122746229,,,,,
21.0,415744,37.81137466430664,,,,,,,,,,,,,,,
21.0,416768,38.990718841552734,0.0003,1.1920928955078125e-07,8185.2470703125,0.2443359375,20117.031845092773,0.024573019,-0.028401342339930125,2030,0.2,-3.200609677284956,,,,,
21.0,417792,41.87982177734375,,,,,,,,,,,,,,,
21.0,418816,39.869537353515625,0.0003,1.1920928955078125e-07,9109.6611328125,0.249609375,19982.971908569336,0.023414927,-0.02406750423979247,2040,0.2,-3.1996593557298185,,,,,
21.0,419840,37.526527404785156,,,,,,,,,,,,,,,
21.0,420864,39.55875778198242,0.0003,-1.1920928955078125e-07,10333.5390625,0.230029296875,19125.70805053711,0.021453174,-0.01460417054622667,2050,0.2,-3.1963506013154985,,,,,
21.0,421888,38.17491912841797,,,,,,,,,,,,,,,
21.0,422912,39.99319076538086,0.0003,1.1920928955078125e-07,9893.634765625,0.2427734375,19691.69655456543,0.027899552,-0.019071701470238622,2060,0.2,-3.1849452100694178,,,,,
21.0,423936,39.90566635131836,,,,,,,,,,,,,,,
21.0,424960,36.073516845703125,0.0003,0.0,9017.97265625,0.24052734375,19333.788580322267,0.021994054,-0.02326727628824301,2070,0.2,-3.1868723459541797,,,,,
21.0,425984,39.868812561035156,,,,,,,,,,,,,,,
21.0,427008,40.50856018066406,0.0003,0.0,11308.296875,0.219873046875,19629.798318481444,0.020981329,-0.028117526622372678,2080,0.2,-3.188386209309101,,,,,
21.0,428032,39.983154296875,,,,,,,,,,,,,,,
21.0,429056,37.20368194580078,0.0003,0.0,9803.673828125,0.245947265625,18272.401217651368,0.024513938,-0.029085058736382053,2090,0.2,-3.1834343701601027,,,,,
21.0,430080,40.58891677856445,,,,,,,,,,,,,,,
,430080,,,,,,,,,,,,537.53665229,210,496,21.0,866
21.0,431104,39.463443756103516,0.0003,0.0,8940.150390625,0.246044921875,19795.200939941406,0.027979987,-0.018543506041169167,2100,0.2,-3.1964525677263738,,,,,
21.0,432128,41.171714782714844,,,,,,,,,,,,,,,
21.0,433152,40.695125579833984,0.0003,0.0,8556.4150390625,0.2234375,18618.91111755371,0.021961432,-0.019056581336917587,2110,0.2,-3.195208243280649,,,,,
21.0,434176,37.92824935913086,,,,,,,,,,,,,,,
21.0,435200,42.782344818115234,0.0003,0.0,8385.3134765625,0.24189453125,17219.646102905273,0.02976333,-0.017726627235970228,2120,0.2,-3.1966943815350533,,,,,
21.0,436224,42.71879577636719,,,,,,,,,,,,,,,
21.0,437248,38.14234924316406,0.0003,0.0,9386.5234375,0.245361328125,18917.799334716798,0.025457935,-0.018332910451863426,2130,0.2,-3.191027332097292,,,,,
21.0,438272,37.35615921020508,,,,,,,,,,,,,,,
21.0,439296,40.99906921386719,0.0003,0.0,9065.146484375,0.258984375,18926.875750732423,0.029695142,-0.013394784848787821,2140,0.2,-3.181343376636505,,,,,
21.0,440320,45.73160171508789,,,,,,,,,,,,,,,
21.0,441344,39.875186920166016,0.0003,1.1920928955078125e-07,9644.3837890625,0.27421875,19947.86102294922,0.02998463,-0.021162398968590422,2150,0.2,-3.172283961623907,,,,,
