time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean
171008,120.0,20.485816955566406,0.0003,59.89943313598633,-5.4897639662027355,0.3,-0.04754024882713566,0.04738432,0.260400390625,-1.1920928955078125e-07,830,62.04350257217884,,,,,
172032,120.0,23.967714309692383,,,,,,,,,,,,,,,
173056,120.0,23.381088256835938,0.0003,40.786895751953125,-5.497385831922292,0.3,-0.03899361379844777,0.04253175,0.21982421875,0.0,840,61.5780925899744,,,,,
174080,120.0,23.28815460205078,,,,,,,,,,,,,,,
175104,120.0,26.806175231933594,0.0003,77.6432876586914,-5.4833845786750315,0.3,-0.0417161294928519,0.040409453,0.2482421875,0.0,850,67.11720688939094,,,,,
176128,120.0,23.20935821533203,,,,,,,,,,,,,,,
177152,120.0,23.0009765625,0.0003,62.1025390625,-5.478212861716747,0.3,-0.04230148440838093,0.045264572,0.2255859375,0.0,860,63.357163216173646,,,,,
178176,120.0,22.339061737060547,,,,,,,,,,,,,,,
179200,120.0,23.519573211669922,0.0003,80.790771484375,-5.482130970805883,0.3,-0.04506135633891972,0.04543377,0.28359375,-1.1920928955078125e-07,870,70.08518548905849,,,,,
180224,120.0,23.01614761352539,,,,,,,,,,,,,,,
181248,120.0,25.341964721679688,0.0003,50.137489318847656,-5.481016352772713,0.3,-0.04080056278216944,0.045499776,0.273876953125,-1.1920928955078125e-07,880,56.92403370589018,,,,,
182272,120.0,23.576152801513672,,,,,,,,,,,,,,,
183296,120.0,22.017505645751953,0.0003,59.20438766479492,-5.520248690247536,0.3,-0.044880520947481274,0.051321413,0.2927734375,0.0,890,53.97584229409695,,,,,
184320,120.0,20.881423950195312,,,,,,,,,,,,,,,
184320,,,,,,,,,,,,,120.0,513,90,359,23.116288869999998
185344,120.0,23.132549285888672,0.0003,63.94721603393555,-5.498071143031121,0.3,-0.038809124739782416,0.041177697,0.255322265625,0.0,900,60.33711357265711,,,,,
186368,120.0,23.14747428894043,,,,,,,,,,,,,,,
187392,120.0,22.212181091308594,0.0003,73.20040893554688,-5.506796921044588,0.3,-0.04904693047428736,0.047572054,0.285498046875,0.0,910,54.746091569960114,,,,,
188416,120.0,22.09489631652832,,,,,,,,,,,,,,,
189440,120.0,21.493717193603516,0.0003,43.30698776245117,-5.526669104397297,0.3,-0.04449699716606119,0.04526472,0.276513671875,0.0,920,57.376263436675075,,,,,
190464,120.0,24.704713821411133,,,,,,,,,,,,,,,
191488,120.0,20.611604690551758,0.0003,91.31560516357422,-5.524930948764085,0.3,-0.042290485462217475,0.040815823,0.229296875,0.0,930,63.367960169911385,,,,,
192512,120.0,20.472707748413086,,,,,,,,,,,,,,,
193536,120.0,21.896732330322266,0.0003,52.314823150634766,-5.563152190297842,0.3,-0.04004117647637031,0.04462357,0.252685546875,0.0,940,66.15668298304081,,,,,
194560,120.0,26.234996795654297,,,,,,,,,,,,,,,
195584,120.0,26.783857345581055,0.0003,49.73130416870117,-5.519052963703871,0.3,-0.03975108782397001,0.047405228,0.273388671875,0.0,950,56.909541034698485,,,,,
196608,120.0,22.889297485351562,,,,,,,,,,,,,,,
197632,120.0,24.846195220947266,0.0003,52.7431755065918,-5.48196177855134,0.3,-0.04477172138722381,0.04611247,0.25908203125,1.1920928955078125e-07,960,56.77191233336926,,,,,
198656,120.0,23.658554077148438,,,,,,,,,,,,,,,
199680,120.0,23.609312057495117,0.0003,17.885900497436523,-5.496071765571832,0.3,-0.04373453566004173,0.04645192,0.2884765625,0.0,970,54.148398941755296,,,,,
200704,120.0,24.940086364746094,,,,,,,,,,,,,,,
201728,120.0,25.830078125,0.0003,81.17518615722656,-5.452769221365452,0.3,-0.04076810110200313,0.044914015,0.2412109375,0.0,980,65.25527366101741,,,,,
202752,120.0,21.66581153869629,,,,,,,,,,,,,,,
203776,120.0,24.479982376098633,0.0003,66.49327850341797,-5.448984932154417,0.3,-0.037372613051411464,0.044382796,0.2591796875,0.0,990,66.96371392905712,,,,,
204800,120.0,25.81416893005371,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,120.0,569,100,359,23.060474789999997
205824,120.0,25.319499969482422,0.0003,32.2844123840332,-5.4404456153512,0.3,-0.042020459378545635,0.04558567,0.246337890625,0.0,1000,57.49389807283878,,,,,
206848,120.0,23.43092918395996,,,,,,,,,,,,,,,
207872,120.0,23.276376724243164,0.0003,100.29217529296875,-5.452683698385954,0.3,-0.04669632036493567,0.043503918,0.280419921875,0.0,1010,67.06416044533253,,,,,
208896,120.0,23.56378173828125,,,,,,,,,,,,,,,
209920,120.0,22.494840621948242,0.0003,69.2227783203125,-5.465116436034441,0.3,-0.043548362871661084,0.04479614,0.266748046875,0.0,1020,56.17947812527418,,,,,
210944,120.0,23.05583953857422,,,,,,,,,,,,,,,
211968,120.0,20.874420166015625,0.0003,71.76537322998047,-5.480948876589537,0.3,-0.042958102363627404,0.042676136,0.262548828125,0.0,1030,61.359093096852305,,,,,
212992,120.0,25.11178970336914,,,,,,,,,,,,,,,
214016,120.0,19.559675216674805,0.0003,107.64568328857422,-5.485151818394661,0.3,-0.03638572548661614,0.040346906,0.20537109375,0.0,1040,64.30008207559585,,,,,
215040,120.0,21.580547332763672,,,,,,,,,,,,,,,
216064,120.0,20.36165428161621,0.0003,28.634973526000977,-5.43852953016758,0.3,-0.03703688220703043,0.043973222,0.255224609375,0.0,1050,56.28813501596451,,,,,
217088,120.0,24.741361618041992,,,,,,,,,,,,,,,
218112,120.0,21.148588180541992,0.0003,64.93343353271484,-5.456947639584541,0.3,-0.05054535770104849,0.050822064,0.300244140625,0.0,1060,55.17625634372234,,,,,
219136,120.0,18.851409912109375,,,,,,,,,,,,,,,
220160,120.0,25.663806915283203,0.0003,38.905296325683594,-5.468784757703543,0.3,-0.042095648666509076,0.04552313,0.23857421875,0.0,1070,57.224657168984415,,,,,
221184,120.0,21.371896743774414,,,,,,,,,,,,,,,
222208,120.0,22.008136749267578,0.0003,119.07295227050781,-5.471068382263184,0.3,-0.042130664265641826,0.04196492,0.280126953125,0.0,1080,60.7758149087429,,,,,
223232,120.0,21.62567901611328,,,,,,,,,,,,,,,
224256,120.0,21.271812438964844,0.0003,45.653228759765625,-5.4971301041543486,0.3,-0.04666430786819546,0.04711262,0.268310546875,1.1920928955078125e-07,1090,56.37145431339741,,,,,
225280,120.0,21.308937072753906,,,,,,,,,,,,,,,
225280,,,,,,,,,,,,,120.0,625,110,360,21.920287140000006
226304,120.0,25.545516967773438,0.0003,68.8870849609375,-5.524332492053508,0.3,-0.041036023206834214,0.041552305,0.249951171875,0.0,1100,59.65281394422054,,,,,
227328,120.0,25.689937591552734,,,,,,,,,,,,,,,
228352,120.0,20.838848114013672,0.0003,55.45218276977539,-5.504717530310154,0.3,-0.0459991580042697,0.0439658,0.2234375,0.0,1110,59.59349626600742,,,,,
229376,120.0,22.846298217773438,,,,,,,,,,,,,,,
