time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/n_updates,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps
650240,48.034629821777344,180.0,3e-05,31.55668563246727,-4.014228047430516,-0.00844181209067756,0.004857151,0.2,0.004638671875,27.839879989624023,0.0,3170,,,,,
651264,50.242027282714844,180.0,,,,,,,,,,,,,,,
652288,50.93133544921875,180.0,3e-05,30.99198171198368,-4.022634641826153,-0.0064417820121889235,0.0043529132,0.2,0.006787109375,25.33026123046875,0.0,3180,,,,,
653312,50.62641906738281,180.0,,,,,,,,,,,,,,,
654336,50.20734405517578,180.0,3e-05,32.33712542057037,-4.026864024251699,-0.008062368589162362,0.0052696858,0.2,0.00859375,22.140872955322266,0.0,3190,,,,,
655360,44.79549026489258,180.0,,,,,,,,,,,,,,,
655360,,,,,,,,,,,,,180.0,320,48.92344376999999,2343,279
656384,49.678585052490234,180.0,3e-05,33.88098291605711,-4.032524418830872,-0.00803979414049536,0.0047719628,0.2,0.009619140625,19.513368606567383,0.0,3200,,,,,
657408,47.42057800292969,180.0,,,,,,,,,,,,,,,
658432,43.85444641113281,180.0,3e-05,33.97161653637886,-4.0239687889814375,-0.009971996597960242,0.0065293126,0.2,0.010888671875,14.757376670837402,-1.1920928955078125e-07,3210,,,,,
659456,42.26256561279297,180.0,,,,,,,,,,,,,,,
660480,48.80268859863281,180.0,3e-05,32.094164402782916,-4.009643552452326,-0.006945988736151776,0.004195437,0.2,0.00810546875,23.51343536376953,0.0,3220,,,,,
661504,46.297733306884766,180.0,,,,,,,,,,,,,,,
662528,49.60717010498047,180.0,3e-05,32.55075594633818,-4.006336157768965,-0.00811111397051718,0.0054341247,0.2,0.00966796875,23.075157165527344,0.0,3230,,,,,
663552,48.8389892578125,180.0,,,,,,,,,,,,,,,
664576,43.90938186645508,180.0,3e-05,33.13523928821087,-4.001084616780281,-0.006134874517010757,0.004156401,0.2,0.006103515625,16.984567642211914,0.0,3240,,,,,
665600,47.75381851196289,180.0,,,,,,,,,,,,,,,
666624,47.953224182128906,180.0,3e-05,32.63908925354481,-4.005599970370531,-0.009017025175126037,0.0059550134,0.2,0.00703125,14.803926467895508,-1.1920928955078125e-07,3250,,,,,
667648,47.24177932739258,180.0,,,,,,,,,,,,,,,
668672,43.826568603515625,180.0,3e-05,32.058077085018155,-4.010752016305924,-0.006447314343677135,0.0035040874,0.2,0.005517578125,25.81059455871582,0.0,3260,,,,,
669696,54.819908142089844,180.0,,,,,,,,,,,,,,,
670720,46.30864715576172,180.0,3e-05,32.66886654794216,-4.006189875304699,-0.006533272351953201,0.003542673,0.2,0.00439453125,13.80764102935791,0.0,3270,,,,,
671744,53.1685791015625,180.0,,,,,,,,,,,,,,,
672768,50.93528747558594,180.0,3e-05,31.89486496448517,-3.997687788680196,-0.006796413741540164,0.0046315556,0.2,0.006298828125,29.99846839904785,0.0,3280,,,,,
673792,43.526798248291016,180.0,,,,,,,,,,,,,,,
674816,46.03736877441406,180.0,3e-05,31.02958649247885,-3.992463221400976,-0.00872084328730125,0.0057283705,0.2,0.00927734375,24.339221954345703,-1.1920928955078125e-07,3290,,,,,
675840,51.74311828613281,180.0,,,,,,,,,,,,,,,
675840,,,,,,,,,,,,,180.0,330,49.04467004,2414,279
676864,49.89677429199219,180.0,3e-05,30.94453719705343,-3.9963262237608435,-0.009349086574729881,0.005675412,0.2,0.014599609375,20.757095336914062,-1.1920928955078125e-07,3300,,,,,
677888,48.715511322021484,180.0,,,,,,,,,,,,,,,
678912,48.316444396972656,180.0,3e-05,29.253747862577438,-4.004831355065107,-0.008858009237519582,0.0048938086,0.2,0.0107421875,25.938079833984375,-1.1920928955078125e-07,3310,,,,,
679936,43.873008728027344,180.0,,,,,,,,,,,,,,,
680960,47.16314697265625,180.0,3e-05,30.516390255093576,-4.012667056173086,-0.008707491986933746,0.005258752,0.2,0.00927734375,28.148929595947266,0.0,3320,,,,,
681984,50.05554962158203,180.0,,,,,,,,,,,,,,,
683008,43.56468963623047,180.0,3e-05,31.244956514239313,-4.014101358503103,-0.008048856577806874,0.0043205586,0.2,0.011181640625,31.557340621948242,0.0,3330,,,,,
684032,49.199790954589844,180.0,,,,,,,,,,,,,,,
685056,46.567562103271484,180.0,3e-05,30.829498320817947,-3.9970169331878425,-0.007805141649805591,0.005114358,0.2,0.007568359375,28.717382431030273,0.0,3340,,,,,
686080,46.54165267944336,180.0,,,,,,,,,,,,,,,
687104,45.18999481201172,180.0,3e-05,34.04548791795969,-3.9933262053877114,-0.007530595698699472,0.0047982205,0.2,0.006396484375,18.88355827331543,0.0,3350,,,,,
688128,44.88559341430664,180.0,,,,,,,,,,,,,,,
689152,51.33460235595703,180.0,3e-05,29.5143795222044,-3.992071865871549,-0.008661743371703778,0.0054391446,0.2,0.007666015625,24.0795955657959,0.0,3360,,,,,
690176,49.66080093383789,180.0,,,,,,,,,,,,,,,
691200,49.98583984375,180.0,3e-05,33.90103893578053,-3.979631642252207,-0.007344737838138826,0.0043940917,0.2,0.005859375,20.174020767211914,0.0,3370,,,,,
692224,47.68724060058594,180.0,,,,,,,,,,,,,,,
693248,45.41676330566406,180.0,3e-05,29.351075331866742,-3.980417358502746,-0.008410005650875973,0.005195704,0.2,0.008154296875,17.5216121673584,0.0,3380,,,,,
694272,49.809879302978516,180.0,,,,,,,,,,,,,,,
695296,46.839576721191406,180.0,3e-05,31.338167977333068,-3.981209073588252,-0.009888412964210147,0.006597996,0.2,0.00986328125,16.299545288085938,-1.1920928955078125e-07,3390,,,,,
696320,52.61114501953125,180.0,,,,,,,,,,,,,,,
696320,,,,,,,,,,,,,180.0,340,47.23349874,2486,280
697344,44.901023864746094,180.0,3e-05,29.709981118142604,-3.971388951689005,-0.008361974407671368,0.0057682036,0.2,0.015283203125,21.186656951904297,0.0,3400,,,,,
