time/total_timesteps,eval/mean_reward,eval/mean_ep_length,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations
199680,14.544740676879883,180.0,-0.030498506223375445,0.293115234375,970,0.0,0.022111729,0.2,-5.6220030099153515,0.0003,11.981456756591797,39.261225533485415,,,,,
200704,15.1183443069458,180.0,,,,,,,,,,,,,,,
201728,14.791036605834961,180.0,-0.03556295316084288,0.321533203125,980,0.0,0.022381088,0.2,-5.624351589381694,0.0003,13.194087028503418,39.230734238028525,,,,,
202752,14.008481979370117,180.0,,,,,,,,,,,,,,,
203776,14.215787887573242,180.0,-0.032547609208268116,0.304931640625,990,-1.1920928955078125e-07,0.021419294,0.2,-5.612441797554493,0.0003,20.41295623779297,45.31464375853538,,,,,
204800,14.37831974029541,180.0,,,,,,,,,,,,,,,
204800,,,,,,,,,,,,,180.0,15.350945279999998,342,598,100
205824,14.970782279968262,180.0,-0.03460205565497745,0.303369140625,1000,0.0,0.02412055,0.2,-5.594424587488175,0.0003,21.407297134399414,41.13034147620201,,,,,
206848,15.246685028076172,180.0,,,,,,,,,,,,,,,
207872,14.17656135559082,180.0,-0.03200565589213511,0.29794921875,1010,0.0,0.021295203,0.2,-5.5971957966685295,0.0003,16.473878860473633,42.60600769519806,,,,,
208896,14.273411750793457,180.0,,,,,,,,,,,,,,,
209920,13.757286071777344,180.0,-0.03177784834697377,0.316357421875,1020,0.0,0.021527458,0.2,-5.603996647894382,0.0003,11.08279037475586,40.050443947315216,,,,,
210944,15.740474700927734,180.0,,,,,,,,,,,,,,,
211968,14.403156280517578,180.0,-0.03446081728325225,0.2716796875,1030,0.0,0.021217603,0.2,-5.590716448426247,0.0003,14.131881713867188,41.92716163396835,,,,,
212992,15.046366691589355,180.0,,,,,,,,,,,,,,,
214016,15.158188819885254,180.0,-0.037299936718773095,0.3060546875,1040,0.0,0.023278156,0.2,-5.588148666918277,0.0003,25.03118133544922,42.414624381065366,,,,,
215040,17.11566925048828,180.0,,,,,,,,,,,,,,,
216064,15.37010383605957,180.0,-0.03487869797681924,0.32041015625,1050,0.0,0.021396726,0.2,-5.598576951026916,0.0003,20.203718185424805,38.96112362146378,,,,,
217088,15.519439697265625,180.0,,,,,,,,,,,,,,,
218112,15.529085159301758,180.0,-0.035380855412222446,0.302490234375,1060,0.0,0.021798745,0.2,-5.593531855940819,0.0003,25.477859497070312,46.94951000213623,,,,,
219136,14.355192184448242,180.0,,,,,,,,,,,,,,,
220160,17.569866180419922,180.0,-0.03318350139161339,0.278759765625,1070,0.0,0.019798953,0.2,-5.5921680778265,0.0003,22.289417266845703,41.52695048451424,,,,,
221184,15.317076683044434,180.0,,,,,,,,,,,,,,,
222208,15.065348625183105,180.0,-0.03623942970589269,0.334619140625,1080,0.0,0.024004385,0.2,-5.592797122895718,0.0003,15.654492378234863,44.314252227544785,,,,,
223232,15.917679786682129,180.0,,,,,,,,,,,,,,,
224256,15.674494743347168,180.0,-0.036053451540647076,0.334619140625,1090,0.0,0.021518817,0.2,-5.60661718994379,0.0003,22.63463020324707,40.409580779075625,,,,,
225280,15.094127655029297,180.0,,,,,,,,,,,,,,,
225280,,,,,,,,,,,,,180.0,15.273561470000002,341,658,110
226304,14.54820728302002,180.0,-0.035252571036107835,0.318115234375,1100,0.0,0.021604821,0.2,-5.588823975622654,0.0003,26.11824607849121,42.57108035087585,,,,,
227328,15.806499481201172,180.0,,,,,,,,,,,,,,,
228352,16.445964813232422,180.0,-0.03392758414993295,0.289013671875,1110,0.0,0.021491922,0.2,-5.5692526519298555,0.0003,21.949352264404297,38.31441721618175,,,,,
229376,14.472991943359375,180.0,,,,,,,,,,,,,,,
230400,15.09555435180664,180.0,-0.03378922435222194,0.293603515625,1120,5.960464477539063e-08,0.021557672,0.2,-5.568178690969944,0.0003,23.844234466552734,43.26523069739342,,,,,
231424,14.679023742675781,180.0,,,,,,,,,,,,,,,
232448,15.656669616699219,180.0,-0.02946080919209635,0.28583984375,1130,0.0,0.021497801,0.2,-5.57624976336956,0.0003,21.576711654663086,45.0339396417141,,,,,
233472,17.16778564453125,180.0,,,,,,,,,,,,,,,
