eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/clip_range,train/value_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations
50.0,348404,31.4677734375,0.095458984375,23676.826171875,-0.008734236817690543,-2.2843767270445823,0.0,0.014905632,1700,0.0003,0.2,50238.180078125,,,,,
50.0,348904,33.186378479003906,,,,,,,,,,,,,,,
50.0,349404,32.731754302978516,,,,,,,,,,,,,,,
50.0,349904,33.94278335571289,,,,,,,,,,,,,,,
50.0,350404,32.04736328125,0.05,23660.58984375,-0.004746972327120602,-2.2902303390204906,-1.1920928955078125e-07,0.014006352,1710,0.0003,0.2,47694.543957519534,,,,,
50.0,350904,31.882404327392578,,,,,,,,,,,,,,,
50.0,351404,30.948497772216797,,,,,,,,,,,,,,,
50.0,351904,31.952293395996094,,,,,,,,,,,,,,,
50.0,352404,31.296295166015625,0.034619140625,24909.859375,-0.002538269042270258,-2.2743781842291355,0.0,0.009741154,1720,0.0003,0.2,49020.811743164064,,,,,
50.0,352904,31.057641983032227,,,,,,,,,,,,,,,
50.0,353404,29.736989974975586,,,,,,,,,,,,,,,
50.0,353904,31.214542388916016,,,,,,,,,,,,,,,
,354304,,,,,,,,,,,,50.0,961,1305.15123596,106,50
50.0,354404,31.506689071655273,0.1013671875,21980.42578125,-0.009131160122342408,-2.280504608899355,0.0,0.016036851,1730,0.0003,0.2,48130.28638916016,,,,,
50.0,354904,30.794178009033203,,,,,,,,,,,,,,,
50.0,355404,31.447792053222656,,,,,,,,,,,,,,,
50.0,355904,31.491741180419922,,,,,,,,,,,,,,,
50.0,356404,33.281089782714844,0.08505859375,23689.994140625,-0.007260960905114189,-2.276641544699669,-1.1920928955078125e-07,0.012930237,1740,0.0003,0.2,51223.577185058595,,,,,
50.0,356904,33.0394172668457,,,,,,,,,,,,,,,
50.0,357404,32.94120788574219,,,,,,,,,,,,,,,
50.0,357904,32.14105224609375,,,,,,,,,,,,,,,
50.0,358404,32.508331298828125,0.0943359375,22377.412109375,-0.008762832236243412,-2.304310717433691,1.1920928955078125e-07,0.015329242,1750,0.0003,0.2,45060.912634277345,,,,,
50.0,358904,32.845115661621094,,,,,,,,,,,,,,,
50.0,359404,33.036197662353516,,,,,,,,,,,,,,,
50.0,359904,31.25275993347168,,,,,,,,,,,,,,,
50.0,360404,32.67251205444336,,,,,,,,,,,,,,,
50.0,360904,32.08620834350586,0.0662109375,26451.033203125,-0.005872829083818943,-2.310945627838373,0.0,0.014373602,1760,0.0003,0.2,48474.526953125,,,,,
50.0,361404,31.40952491760254,,,,,,,,,,,,,,,
50.0,361904,32.59444808959961,,,,,,,,,,,,,,,
50.0,362404,32.65430450439453,,,,,,,,,,,,,,,
50.0,362904,33.2454833984375,0.076220703125,21584.9609375,-0.006579768462688662,-2.295193604379892,0.0,0.013200956,1770,0.0003,0.2,47706.10837402344,,,,,
50.0,363404,30.699005126953125,,,,,,,,,,,,,,,
50.0,363904,32.185176849365234,,,,,,,,,,,,,,,
50.0,364404,32.448062896728516,,,,,,,,,,,,,,,
50.0,364904,30.535640716552734,0.074658203125,20848.10546875,-0.006247453604009934,-2.2973401047289372,0.0,0.012398958,1780,0.0003,0.2,46584.228015136716,,,,,
50.0,365404,32.449161529541016,,,,,,,,,,,,,,,
